"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1679.12257996154,1680.48854637293,1677.68773121981,"MT","Região Centro-Oeste"
"2",2025-04-01,1682.22457700507,1684.96267004444,1679.35080644267,"MT","Região Centro-Oeste"
"3",2025-05-01,1685.22650962785,1689.34265217165,1680.91000621244,"MT","Região Centro-Oeste"
"4",2025-06-01,1688.32850667138,1693.82903588005,1682.56503779006,"MT","Região Centro-Oeste"
"5",2025-07-01,1691.33043929415,1698.22112886289,1684.11637581237,"MT","Região Centro-Oeste"
"6",2025-08-01,1694.43243633768,1702.71980066537,1685.76338637349,"MT","Região Centro-Oeste"
"7",2025-09-01,1697.53443338122,1707.22466795498,1687.40635236037,"MT","Região Centro-Oeste"
"8",2025-10-01,1700.53636600399,1711.63502033734,1688.94589707828,"MT","Região Centro-Oeste"
"9",2025-11-01,1703.63836304752,1716.15221798375,1690.58087596354,"MT","Região Centro-Oeste"
"10",2025-12-01,1706.64029567029,1720.57475095041,1692.11261468276,"MT","Região Centro-Oeste"
"11",2026-01-01,1709.74229271382,1725.10430715824,1693.73962896063,"MT","Região Centro-Oeste"
"12",2026-02-01,1712.84428975736,1729.6400943089,1695.3626269999,"MT","Região Centro-Oeste"
"13",2026-03-01,1715.64609353861,1733.878736044,1696.68473895604,"MT","Região Centro-Oeste"
"14",2026-04-01,1718.74809058214,1738.42675970582,1698.29997522591,"MT","Região Centro-Oeste"
"15",2026-05-01,1721.75002320492,1742.87974311789,1699.8124225933,"MT","Região Centro-Oeste"
"16",2026-06-01,1724.85202024845,1747.4401959109,1701.4197500407,"MT","Região Centro-Oeste"
"17",2026-07-01,1727.85395287122,1751.90545784981,1702.92446858186,"MT","Região Centro-Oeste"
"18",2026-08-01,1730.95594991475,1756.47836818585,1704.52390951451,"MT","Região Centro-Oeste"
"19",2026-09-01,1734.05794695828,1761.05755926779,1706.11937343775,"MT","Região Centro-Oeste"
"20",2026-10-01,1737.05987958106,1765.54133317544,1707.61249789464,"MT","Região Centro-Oeste"
"21",2026-11-01,1740.16187662459,1770.13302459712,1709.20010873704,"MT","Região Centro-Oeste"
"22",2026-12-01,1743.16380924736,1774.6291476433,1710.68555932277,"MT","Região Centro-Oeste"
"23",2027-01-01,1746.26580629089,1779.23336796581,1712.2653392593,"MT","Região Centro-Oeste"
"24",2027-02-01,1749.36780333443,1783.84390493744,1713.84117012074,"MT","Região Centro-Oeste"
"25",2027-03-01,1752.16960711568,1788.1544073726,1715.11921195865,"MT","Região Centro-Oeste"
"26",2027-04-01,1755.27160415921,1792.77735011804,1716.68741254774,"MT","Região Centro-Oeste"
"27",2027-05-01,1758.27353678198,1797.30434533529,1718.15389942619,"MT","Região Centro-Oeste"
"28",2027-06-01,1761.37553382552,1801.93988844356,1719.71432410142,"MT","Região Centro-Oeste"
"29",2027-07-01,1764.37746644829,1806.47933198265,1721.17321318057,"MT","Região Centro-Oeste"
"30",2027-08-01,1767.47946349182,1811.12750422454,1722.72588393281,"MT","Região Centro-Oeste"
"31",2027-09-01,1770.58146053535,1815.78204354744,1724.27464428262,"MT","Região Centro-Oeste"
"32",2027-10-01,1773.58339315813,1820.34025482205,1725.72213565952,"MT","Região Centro-Oeste"
"33",2027-11-01,1776.68539020166,1825.00746661567,1727.26317504557,"MT","Região Centro-Oeste"
"34",2027-12-01,1779.68732282443,1829.57819771746,1728.70312279495,"MT","Região Centro-Oeste"
"35",2028-01-01,1782.78931986796,1834.25811090361,1730.23646307711,"MT","Região Centro-Oeste"
"36",2028-02-01,1785.89131691149,1838.94442752687,1731.76592049508,"MT","Região Centro-Oeste"
