"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1500.48853690456,1501.70918450143,1499.20633504815,"MT","Região Centro-Oeste"
"2",2025-04-01,1506.02437832166,1508.47567699114,1503.45161331522,"MT","Região Centro-Oeste"
"3",2025-05-01,1511.38164420917,1515.07317306307,1507.51042334246,"MT","Região Centro-Oeste"
"4",2025-06-01,1516.91748562627,1521.8595623038,1511.73916476668,"MT","Região Centro-Oeste"
"5",2025-07-01,1522.27475151379,1528.47668728418,1515.78176443155,"MT","Região Centro-Oeste"
"6",2025-08-01,1527.81059293089,1535.28302011994,1519.99401312404,"MT","Região Centro-Oeste"
"7",2025-09-01,1533.34643434798,1542.09941534177,1524.19795605222,"MT","Região Centro-Oeste"
"8",2025-10-01,1538.7037002355,1548.74614380317,1528.2162459358,"MT","Região Centro-Oeste"
"9",2025-11-01,1544.2395416526,1555.58255319201,1532.40376223658,"MT","Região Centro-Oeste"
"10",2025-12-01,1549.59680754012,1562.2490269162,1536.40595054678,"MT","Região Centro-Oeste"
"11",2026-01-01,1555.13264895721,1569.10549756608,1540.57708407534,"MT","Região Centro-Oeste"
"12",2026-02-01,1560.66849037431,1575.97208982631,1544.73996704732,"MT","Região Centro-Oeste"
"13",2026-03-01,1565.66860520266,1582.30739572483,1548.3648047896,"MT","Região Centro-Oeste"
"14",2026-04-01,1571.20444661976,1589.19382656444,1552.51167253102,"MT","Região Centro-Oeste"
"15",2026-05-01,1576.56171250728,1595.90964743502,1556.47402223725,"MT","Região Centro-Oeste"
"16",2026-06-01,1582.09755392438,1602.81625735149,1560.60461601238,"MT","Região Centro-Oeste"
"17",2026-07-01,1587.45481981189,1609.55198690089,1564.55101482026,"MT","Região Centro-Oeste"
"18",2026-08-01,1592.99066122899,1616.47882333955,1568.66537812927,"MT","Região Centro-Oeste"
"19",2026-09-01,1598.52650264609,1623.41586456945,1572.77156735282,"MT","Região Centro-Oeste"
"20",2026-10-01,1603.88376853361,1630.18161909204,1576.69404521557,"MT","Região Centro-Oeste"
"21",2026-11-01,1609.41960995071,1637.1389583215,1580.78406916204,"MT","Região Centro-Oeste"
"22",2026-12-01,1614.77687583822,1643.92473937385,1584.69070340411,"MT","Região Centro-Oeste"
"23",2027-01-01,1620.31271725532,1650.90242430125,1588.76460532101,"MT","Região Centro-Oeste"
"24",2027-02-01,1625.84855867242,1657.89037400311,1592.83038759664,"MT","Região Centro-Oeste"
"25",2027-03-01,1630.84867350077,1664.34187160606,1596.36366271806,"MT","Região Centro-Oeste"
"26",2027-04-01,1636.38451491787,1671.34994235487,1600.413686515,"MT","Região Centro-Oeste"
