"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,3637.84716525218,3640.80655433837,3634.73854144474,"PA","Região Norte"
"2",2025-04-01,3650.80028630994,3656.74255524875,3644.56356706601,"PA","Região Norte"
"3",2025-05-01,3663.33556475292,3672.28321142484,3653.95237478606,"PA","Região Norte"
"4",2025-06-01,3676.28868581068,3688.26593621894,3663.73889152852,"PA","Região Norte"
"5",2025-07-01,3688.82396425366,3703.85268970012,3673.08995413182,"PA","Região Norte"
"6",2025-08-01,3701.77708531142,3719.88224826034,3682.83806489332,"PA","Região Norte"
"7",2025-09-01,3714.73020636917,3735.93543577136,3692.56683356162,"PA","Região Norte"
"8",2025-10-01,3727.26548481216,3751.59171037932,3701.86129138048,"PA","Região Norte"
"9",2025-11-01,3740.21860586991,3767.69189719678,3711.55180826971,"PA","Região Norte"
"10",2025-12-01,3752.7538843129,3783.39454204899,3720.80877473455,"PA","Região Norte"
"11",2026-01-01,3765.70700537065,3799.54183864141,3730.46114214506,"PA","Região Norte"
"12",2026-02-01,3778.66012642841,3815.71290310503,3740.09429624741,"PA","Região Norte"
"13",2026-03-01,3790.35971964186,3830.64091399501,3748.46858900001,"PA","Região Norte"
"14",2026-04-01,3803.31284069962,3846.85856760169,3758.06445315021,"PA","Região Norte"
"15",2026-05-01,3815.84811914261,3862.67710180634,3767.2286616696,"PA","Região Norte"
"16",2026-06-01,3828.80124020036,3878.94214155014,3776.78663014748,"PA","Região Norte"
"17",2026-07-01,3841.33651864335,3894.80742933522,3785.91369877333,"PA","Região Norte"
"18",2026-08-01,3854.2896397011,3911.11996650823,3795.4338730504,"PA","Região Norte"
"19",2026-09-01,3867.24276075885,3927.45646666781,3804.93501240319,"PA","Região Norte"
"20",2026-10-01,3879.77803920184,3943.39226429503,3814.00638324343,"PA","Região Norte"
"21",2026-11-01,3892.7311602596,3959.77642954669,3823.46988046051,"PA","Região Norte"
"22",2026-12-01,3905.26643870258,3975.75925720204,3832.50436164165,"PA","Região Norte"
"23",2027-01-01,3918.21955976034,3992.19119943106,3841.93031760472,"PA","Região Norte"
"24",2027-02-01,3931.17268081809,4008.64724534622,3851.33736564601,"PA","Região Norte"
"25",2027-03-01,3942.87227403155,4023.84815139147,3859.49850974907,"PA","Região Norte"
"26",2027-04-01,3955.8253950893,4040.35144904821,3868.86886672982,"PA","Região Norte"
"27",2027-05-01,3968.36067353229,4056.45181662176,3877.81208266258,"PA","Região Norte"
"28",2027-06-01,3981.31379459004,4073.00317116422,3887.1451486718,"PA","Região Norte"
"29",2027-07-01,3993.84907303303,4089.15095703172,3896.05182151195,"PA","Região Norte"
"30",2027-08-01,4006.80219409078,4105.75048117872,3905.34769661322,"PA","Região Norte"
"31",2027-09-01,4019.75531514854,4122.37430662703,3914.6248397039,"PA","Região Norte"
"32",2027-10-01,4032.29059359152,4138.59360375762,3923.47670913953,"PA","Região Norte"
"33",2027-11-01,4045.24371464928,4155.2657686216,3932.7168112781,"PA","Região Norte"
"34",2027-12-01,4057.77899309227,4171.53276404494,3941.53238437287,"PA","Região Norte"
"35",2028-01-01,4070.73211415002,4188.25338164382,3950.73554504072,"PA","Região Norte"
"36",2028-02-01,4083.68523520777,4204.99844304426,3959.92009894085,"PA","Região Norte"
"37",2028-03-01,4095.80267103599,4220.90676616439,3968.27640568671,"PA","Região Norte"
"38",2028-04-01,4108.75579209375,4237.70010071736,3977.42451313861,"PA","Região Norte"
"39",2028-05-01,4121.29107053674,4254.08665843424,3986.14994723155,"PA","Região Norte"
"40",2028-06-01,4134.24419159449,4270.92872978978,3995.26136060775,"PA","Região Norte"
"41",2028-07-01,4146.77947003748,4287.36337962532,4003.95084068606,"PA","Região Norte"
"42",2028-08-01,4159.73259109523,4304.25430194721,4013.02565865935,"PA","Região Norte"
"43",2028-09-01,4172.68571215299,4321.16986850182,4022.08204362995,"PA","Região Norte"
"44",2028-10-01,4185.22099059597,4337.67704473874,4030.71760311402,"PA","Região Norte"
"45",2028-11-01,4198.17411165373,4354.64163424649,4039.737540554,"PA","Região Norte"
"46",2028-12-01,4210.70939009671,4371.19718619738,4048.33738933501,"PA","Região Norte"
"47",2029-01-01,4223.66251115447,4388.21091342974,4057.32097734251,"PA","Região Norte"
"48",2029-02-01,4236.61563221222,4405.24942921869,4066.28625585204,"PA","Região Norte"
"49",2029-03-01,4248.31522542568,4421.00827916796,4074.03114682997,"PA","Região Norte"
"50",2029-04-01,4261.26834648343,4438.09539811833,4082.9609077346,"PA","Região Norte"
"51",2029-05-01,4273.80362492642,4454.77185649416,4091.47241597425,"PA","Região Norte"
"52",2029-06-01,4286.75674598417,4471.9084003016,4100.36607081444,"PA","Região Norte"
"53",2029-07-01,4299.29202442716,4488.63363269992,4108.84220531506,"PA","Região Norte"
"54",2029-08-01,4312.24514548491,4505.81971698974,4117.69985139182,"PA","Região Norte"
"55",2029-09-01,4325.19826654267,4523.03079254374,4126.53935902995,"PA","Região Norte"
"56",2029-10-01,4337.73354498565,4539.82957864806,4134.9624425602,"PA","Região Norte"
"57",2029-11-01,4350.68666604341,4557.09036887183,4143.76608725203,"PA","Região Norte"
"58",2029-12-01,4363.2219444864,4573.9382162317,4152.15403696165,"PA","Região Norte"
"59",2030-01-01,4376.17506554415,4591.24883736556,4160.92191544093,"PA","Região Norte"
"60",2030-02-01,4389.1281866019,4608.58459593201,4169.67177727181,"PA","Região Norte"
"61",2030-03-01,4400.82777981536,4624.62824640497,4177.21381300096,"PA","Região Norte"
"62",2030-04-01,4413.78090087311,4642.01329659273,4185.92873141346,"PA","Região Norte"
"63",2030-05-01,4426.3161793161,4658.98376541431,4194.22977164638,"PA","Região Norte"
"64",2030-06-01,4439.26930037386,4676.41893732128,4202.90916382528,"PA","Região Norte"
"65",2030-07-01,4451.80457881684,4693.43887081815,4211.17540249515,"PA","Região Norte"
"66",2030-08-01,4464.7576998746,4710.92428154883,4219.81936438736,"PA","Região Norte"
"67",2030-09-01,4477.71082093235,4728.43503501137,4228.44547831235,"PA","Região Norte"
"68",2030-10-01,4490.24609937534,4745.52956269227,4236.65952350134,"PA","Região Norte"
"69",2030-11-01,4503.19922043309,4763.09073139313,4245.25035092818,"PA","Região Norte"
"70",2030-12-01,4515.73449887608,4780.23501466421,4253.42983112325,"PA","Região Norte"
"71",2031-01-01,4528.68761993383,4797.84671633036,4261.98546743894,"PA","Região Norte"
