"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,3069.40471751513,3071.90167860489,3066.78184081193,"PA","Região Norte"
"2",2025-04-01,3089.70473719872,3094.73373222724,3084.42654625938,"PA","Região Norte"
"3",2025-05-01,3109.34991753768,3116.94446189478,3101.38569465009,"PA","Região Norte"
"4",2025-06-01,3129.64993722126,3139.8462531779,3118.96621071227,"PA","Região Norte"
"5",2025-07-01,3149.29511756022,3162.1257357004,3135.86236995921,"PA","Região Norte"
"6",2025-08-01,3169.59513724381,3185.09743117437,3153.3788644543,"PA","Região Norte"
"7",2025-09-01,3189.89515692739,3208.10440896287,3170.86313262082,"PA","Região Norte"
"8",2025-10-01,3209.54033726635,3230.48759807441,3187.66484063566,"PA","Região Norte"
"9",2025-11-01,3229.84035694994,3253.56473095484,3205.08533871428,"PA","Região Norte"
"10",2025-12-01,3249.48553728889,3276.01708644874,3221.82447163897,"PA","Região Norte"
"11",2026-01-01,3269.78555697248,3299.16454184664,3239.18136648349,"PA","Região Norte"
"12",2026-02-01,3290.08557665607,3322.34749014921,3256.50624499223,"PA","Região Norte"
"13",2026-03-01,3308.42107830576,3343.58057827794,3271.85634306668,"PA","Região Norte"
"14",2026-04-01,3328.72109798935,3366.83302460108,3289.1189751574,"PA","Região Norte"
"15",2026-05-01,3348.3662783283,3389.45821425024,3305.70321973943,"PA","Região Norte"
"16",2026-06-01,3368.66629801189,3412.78140191322,3322.90266263441,"PA","Região Norte"
"17",2026-07-01,3388.31147835085,3435.4763386998,3339.4249057174,"PA","Região Norte"
"18",2026-08-01,3408.61149803443,3458.87043638626,3356.56132493256,"PA","Região Norte"
"19",2026-09-01,3428.91151771802,3482.30032273713,3373.66601874193,"PA","Região Norte"
"20",2026-10-01,3448.55669805698,3505.10046417458,3390.09529062442,"PA","Região Norte"
"21",2026-11-01,3468.85671774056,3528.60151469278,3407.1372087842,"PA","Região Norte"
"22",2026-12-01,3488.50189807952,3551.47182215415,3423.50488752482,"PA","Região Norte"
"23",2027-01-01,3508.80191776311,3575.0442064297,3440.4841945989,"PA","Região Norte"
"24",2027-02-01,3529.1019374467,3598.65259267819,3457.43198338306,"PA","Região Norte"
"25",2027-03-01,3547.43743909639,3620.29215998152,3472.42531790697,"PA","Região Norte"
"26",2027-04-01,3567.73745877997,3643.97104819128,3489.31183769501,"PA","Região Norte"
"27",2027-05-01,3587.38263911893,3667.01669040037,3505.52706458681,"PA","Região Norte"
"28",2027-06-01,3607.68265880252,3690.76733660726,3522.35138163873,"PA","Região Norte"
"29",2027-07-01,3627.32783914147,3713.88373312486,3538.50558107739,"PA","Região Norte"
"30",2027-08-01,3647.62785882506,3737.70630819231,3555.26785863637,"PA","Região Norte"
"31",2027-09-01,3667.92787850865,3761.56518481183,3571.99890484424,"PA","Região Norte"
"32",2027-10-01,3687.5730588476,3784.78830344974,3588.06159274161,"PA","Região Norte"
"33",2027-11-01,3707.87307853119,3808.71936635591,3604.730844082,"PA","Região Norte"
"34",2027-12-01,3727.51825887015,3832.0136636133,3620.73290726009,"PA","Região Norte"
"35",2028-01-01,3747.81827855374,3856.01708458695,3637.34052603636,"PA","Região Norte"
"36",2028-02-01,3768.11829823732,3880.05702317268,3653.91711773731,"PA","Região Norte"
"37",2028-03-01,3787.10863923165,3902.78384077747,3669.19382252221,"PA","Região Norte"
"38",2028-04-01,3807.40865891523,3926.89584725484,3685.70956702898,"PA","Região Norte"
"39",2028-05-01,3827.05383925419,3950.36856170425,3701.56103956245,"PA","Região Norte"
