"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,2322.34335272751,2324.23257931133,2320.35885708836,"PB","Região Nordeste"
"2",2025-04-01,2329.14447789265,2332.93553787938,2325.16556394284,"PB","Região Nordeste"
"3",2025-05-01,2335.72621192342,2341.43119103255,2329.74353237642,"PB","Região Nordeste"
"4",2025-06-01,2342.52733708856,2350.15922862439,2334.5306211902,"PB","Região Nordeste"
"5",2025-07-01,2349.10907111933,2358.67963225636,2339.08937208775,"PB","Região Nordeste"
"6",2025-08-01,2355.91019628446,2367.43280745574,2343.85689586082,"PB","Região Nordeste"
"7",2025-09-01,2362.7113214496,2376.19866314041,2348.61456369203,"PB","Região Nordeste"
"8",2025-10-01,2369.29305548037,2384.75639114487,2353.14449313003,"PB","Região Nordeste"
"9",2025-11-01,2376.09418064551,2393.54747269173,2357.88267534775,"PB","Região Nordeste"
"10",2025-12-01,2382.67591467628,2402.13009671119,2362.393517927,"PB","Região Nordeste"
"11",2026-01-01,2389.47703984141,2410.94646301535,2367.11226722187,"PB","Região Nordeste"
"12",2026-02-01,2396.27816500655,2419.775583862,2371.82122691579,"PB","Região Nordeste"
"13",2026-03-01,2402.42111676861,2427.95230617556,2375.86951103636,"PB","Região Nordeste"
"14",2026-04-01,2409.22224193374,2436.80643976016,2380.55948757677,"PB","Região Nordeste"
"15",2026-05-01,2415.80397596451,2445.45128869216,2385.02311807782,"PB","Região Nordeste"
"16",2026-06-01,2422.60510112965,2454.33085437843,2389.6937924087,"PB","Região Nordeste"
"17",2026-07-01,2429.18683516042,2463.00080373264,2394.13851701847,"PB","Região Nordeste"
"18",2026-08-01,2435.98796032556,2471.9058608532,2398.78994140138,"PB","Região Nordeste"
"19",2026-09-01,2442.78908549069,2480.82377653307,2403.43166806421,"PB","Região Nordeste"
"20",2026-10-01,2449.37081952146,2489.53157745023,2407.84803826223,"PB","Região Nordeste"
"21",2026-11-01,2456.1719446866,2498.4750739466,2412.47059329806,"PB","Região Nordeste"
"22",2026-12-01,2462.75367871737,2507.20812268621,2416.86818645568,"PB","Região Nordeste"
"23",2027-01-01,2469.55480388251,2516.17725964685,2421.47162182073,"PB","Região Nordeste"
"24",2027-02-01,2476.35592904764,2525.15933016908,2426.06542488372,"PB","Região Nordeste"
"25",2027-03-01,2482.4988808097,2533.48265886474,2430.00535270753,"PB","Região Nordeste"
"26",2027-04-01,2489.30000597483,2542.49009542775,2434.58048098429,"PB","Região Nordeste"
"27",2027-05-01,2495.8817400056,2551.2862492176,2438.93163059587,"PB","Região Nordeste"
"28",2027-06-01,2502.68286517074,2560.31947547314,2443.48776809093,"PB","Região Nordeste"
"29",2027-07-01,2509.26459920151,2569.14108411173,2447.82031909638,"PB","Região Nordeste"
"30",2027-08-01,2516.06572436665,2578.20016015035,2452.35751734245,"PB","Região Nordeste"
"31",2027-09-01,2522.86684953178,2587.27227509532,2456.88517388718,"PB","Região Nordeste"
"32",2027-10-01,2529.44858356255,2596.13226923749,2461.18983099733,"PB","Região Nordeste"
"33",2027-11-01,2536.24970872769,2605.23032448896,2465.69862552208,"PB","Região Nordeste"
"34",2027-12-01,2542.83144275846,2614.11592276667,2469.98481107425,"PB","Região Nordeste"
"35",2028-01-01,2549.6325679236,2623.23997873413,2474.47479481033,"PB","Região Nordeste"
"36",2028-02-01,2556.43369308873,2632.37714956673,2478.95530135211,"PB","Região Nordeste"
"37",2028-03-01,2562.79603598514,2641.07526592653,2483.00122320466,"PB","Região Nordeste"
"38",2028-04-01,2569.59716115028,2650.23834455263,2487.46317737282,"PB","Região Nordeste"
"39",2028-05-01,2576.17889518105,2659.18812337181,2491.70349565909,"PB","Região Nordeste"
"40",2028-06-01,2582.98002034619,2668.37735414821,2496.14676643734,"PB","Região Nordeste"
"41",2028-07-01,2589.56175437696,2677.35294707961,2500.36878940958,"PB","Região Nordeste"
"42",2028-08-01,2596.3628795421,2686.56839086445,2504.79342761064,"PB","Região Nordeste"
"43",2028-09-01,2603.16400470723,2695.79705635328,2509.20867810926,"PB","Região Nordeste"
"44",2028-10-01,2609.745738738,2704.81157601109,2513.40326172004,"PB","Região Nordeste"
"45",2028-11-01,2616.54686390314,2714.06654618747,2517.79995579187,"PB","Região Nordeste"
"46",2028-12-01,2623.12859793391,2723.10703115497,2521.9763693561,"PB","Região Nordeste"
"47",2029-01-01,2629.92972309905,2732.38836719983,2526.35455751642,"PB","Região Nordeste"
"48",2029-02-01,2636.73084826418,2741.68300187616,2530.72342158148,"PB","Região Nordeste"
"49",2029-03-01,2642.87380002624,2750.30602267546,2534.45180197731,"PB","Região Nordeste"
"50",2029-04-01,2649.67492519137,2759.62674392608,2538.80259540304,"PB","Região Nordeste"
"51",2029-05-01,2656.25665922214,2768.73212894328,2542.93407108578,"PB","Região Nordeste"
"52",2029-06-01,2663.05778438728,2778.07936912827,2547.26648390984,"PB","Região Nordeste"
"53",2029-07-01,2669.63951841805,2787.21093181678,2551.37996301021,"PB","Região Nordeste"
"54",2029-08-01,2676.44064358319,2796.58475257063,2555.69404533522,"PB","Região Nordeste"
"55",2029-09-01,2683.24176874832,2805.97198000575,2559.99889165401,"PB","Região Nordeste"
"56",2029-10-01,2689.82350277909,2815.1430171121,2564.08537909492,"PB","Região Nordeste"
"57",2029-11-01,2696.62462794423,2824.55691796413,2568.37197000121,"PB","Região Nordeste"
"58",2029-12-01,2703.206361975,2833.75428587178,2572.44058437099,"PB","Região Nordeste"
"59",2030-01-01,2710.00748714014,2843.19492210191,2576.70896967379,"PB","Região Nordeste"
"60",2030-02-01,2716.80861230527,2852.64904292054,2580.96818169001,"PB","Região Nordeste"
"61",2030-03-01,2722.95156406733,2861.42501975087,2584.59350255052,"PB","Região Nordeste"
"62",2030-04-01,2729.75268923246,2870.90559418575,2588.83493950753,"PB","Região Nordeste"
"63",2030-05-01,2736.33442326323,2880.1687765327,2592.8593526287,"PB","Região Nordeste"
"64",2030-06-01,2743.13554842837,2889.67624136461,2597.08270753782,"PB","Região Nordeste"
"65",2030-07-01,2749.71728245914,2898.96596958982,2601.08941861622,"PB","Região Nordeste"
"66",2030-08-01,2756.51840762428,2908.50038723899,2605.29474087919,"PB","Região Nordeste"
"67",2030-09-01,2763.31953278941,2918.04839890309,2609.49097671355,"PB","Região Nordeste"
"68",2030-10-01,2769.90126682018,2927.37815623571,2613.47113755406,"PB","Região Nordeste"
"69",2030-11-01,2776.70239198532,2936.95321474816,2617.64941477874,"PB","Região Nordeste"
"70",2030-12-01,2783.28412601609,2946.30967304491,2621.61199535427,"PB","Região Nordeste"
"71",2031-01-01,2790.08525118123,2955.91184115658,2625.77236308117,"PB","Região Nordeste"
