"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,2104.85947050901,2106.57177392969,2103.06081983345,"PB","Região Nordeste"
"2",2025-04-01,2111.09766057037,2114.53381403575,2107.49123940982,"PB","Região Nordeste"
"3",2025-05-01,2117.13461869427,2122.30569084699,2111.71183501489,"PB","Região Nordeste"
"4",2025-06-01,2123.37280875563,2130.29070068799,2116.12422350795,"PB","Região Nordeste"
"5",2025-07-01,2129.40976687953,2138.08524585591,2120.32715541574,"PB","Região Nordeste"
"6",2025-08-01,2135.6479569409,2146.09327911207,2124.72156150157,"PB","Região Nordeste"
"7",2025-09-01,2141.88614700226,2154.11292649292,2129.106909063,"PB","Região Nordeste"
"8",2025-10-01,2147.92310512616,2161.94165630507,2133.28334998627,"PB","Região Nordeste"
"9",2025-11-01,2154.16129518752,2169.98440796892,2137.65078808764,"PB","Região Nordeste"
"10",2025-12-01,2160.19825331142,2177.8359394913,2141.80968533166,"PB","Região Nordeste"
"11",2026-01-01,2166.43644337279,2185.90184940376,2146.15926236504,"PB","Região Nordeste"
"12",2026-02-01,2172.67463343415,2193.97944129992,2150.49984180218,"PB","Região Nordeste"
"13",2026-03-01,2178.30912768313,2201.45861739481,2154.23441208997,"PB","Região Nordeste"
"14",2026-04-01,2184.54731774449,2209.55911795329,2158.55754309447,"PB","Região Nordeste"
"15",2026-05-01,2190.58427586839,2217.46763963841,2162.67304467779,"PB","Região Nordeste"
"16",2026-06-01,2196.82246592975,2225.59143345689,2166.97843466456,"PB","Região Nordeste"
"17",2026-07-01,2202.85942405365,2233.52294414845,2171.07655877597,"PB","Região Nordeste"
"18",2026-08-01,2209.09761411502,2241.67008559351,2175.36425574316,"PB","Região Nordeste"
"19",2026-09-01,2215.33580417638,2249.8290043333,2179.64303949904,"PB","Região Nordeste"
"20",2026-10-01,2221.37276230028,2257.79518272975,2183.71510157816,"PB","Região Nordeste"
"21",2026-11-01,2227.61095236164,2265.9775309974,2187.97626424597,"PB","Região Nordeste"
"22",2026-12-01,2233.64791048554,2273.96683346224,2192.03106719437,"PB","Região Nordeste"
"23",2027-01-01,2239.88610054691,2282.17266591316,2196.27465649193,"PB","Região Nordeste"
"24",2027-02-01,2246.12429060827,2290.39034438404,2200.50939265902,"PB","Região Nordeste"
"25",2027-03-01,2251.75878485724,2298.00378863473,2204.14435732781,"PB","Região Nordeste"
"26",2027-04-01,2257.99697491861,2306.24469949663,2208.36192827857,"PB","Região Nordeste"
"27",2027-05-01,2264.03393304251,2314.29179858515,2212.37404141887,"PB","Região Nordeste"
"28",2027-06-01,2270.27212310387,2322.55633036831,2216.57415737479,"PB","Região Nordeste"
"29",2027-07-01,2276.30908122777,2330.62674322184,2220.56917526596,"PB","Região Nordeste"
"30",2027-08-01,2282.54727128914,2338.91495098752,2224.75188355601,"PB","Região Nordeste"
"31",2027-09-01,2288.7854613505,2347.21510130129,2228.92582192524,"PB","Região Nordeste"
"32",2027-10-01,2294.8224194744,2355.32067110697,2232.89520073987,"PB","Região Nordeste"
"33",2027-11-01,2301.06060953576,2363.64458035045,2237.05180237223,"PB","Região Nordeste"
"34",2027-12-01,2307.09756765966,2371.77360071218,2241.00420262382,"PB","Região Nordeste"
"35",2028-01-01,2313.33575772103,2380.12132423892,2245.14351457158,"PB","Região Nordeste"
"36",2028-02-01,2319.57394778239,2388.48105991565,2249.274115843,"PB","Região Nordeste"
"37",2028-03-01,2325.40967396883,2396.4380648437,2253.00608547922,"PB","Região Nordeste"
"38",2028-04-01,2331.64786403019,2404.82152948863,2257.11963418374,"PB","Região Nordeste"
"39",2028-05-01,2337.68482215409,2413.00933211077,2261.02987413116,"PB","Região Nordeste"
