"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,3654.19486138669,3657.16754932556,3651.0722680981,"PE","Região Nordeste"
"2",2025-04-01,3661.29084339527,3667.25018741534,3655.03620296856,"PE","Região Nordeste"
"3",2025-05-01,3668.15792275841,3677.11734797335,3658.76238090609,"PE","Região Nordeste"
"4",2025-06-01,3675.25390476698,3687.22778388623,3662.70764293027,"PE","Região Nordeste"
"5",2025-07-01,3682.12098413012,3697.12240080583,3666.41556435526,"PE","Região Nordeste"
"6",2025-08-01,3689.21696613869,3707.26069832098,3670.34220576327,"PE","Região Nordeste"
"7",2025-09-01,3696.31294814727,3717.41304415784,3674.25945910984,"PE","Região Nordeste"
"8",2025-10-01,3703.1800275104,3727.34905787116,3677.93999507522,"PE","Região Nordeste"
"9",2025-11-01,3710.27600951898,3737.52936138259,3681.83870608467,"PE","Região Nordeste"
"10",2025-12-01,3717.14308888212,3747.49298995573,3685.50111422741,"PE","Região Nordeste"
"11",2026-01-01,3724.23907089069,3757.70131525657,3689.3813348202,"PE","Região Nordeste"
"12",2026-02-01,3731.33505289927,3767.92376947998,3693.25223275038,"PE","Região Nordeste"
"13",2026-03-01,3737.74432697153,3777.46636308776,3696.43470269085,"PE","Região Nordeste"
"14",2026-04-01,3744.8403089801,3787.71655929579,3700.28757490099,"PE","Região Nordeste"
"15",2026-05-01,3751.70738834324,3797.74922092215,3703.90517711171,"PE","Região Nordeste"
"16",2026-06-01,3758.80337035181,3808.02759933691,3707.73968767183,"PE","Região Nordeste"
"17",2026-07-01,3765.67044971495,3818.08809845114,3711.339340214,"PE","Região Nordeste"
"18",2026-08-01,3772.76643172353,3828.39472365917,3715.15554061511,"PE","Região Nordeste"
"19",2026-09-01,3779.8624137321,3838.71559100513,3718.96250889974,"PE","Região Nordeste"
"20",2026-10-01,3786.72949309524,3848.81806102536,3722.53523586946,"PE","Região Nordeste"
"21",2026-11-01,3793.82547510381,3859.16727245249,3726.32397116678,"PE","Região Nordeste"
"22",2026-12-01,3800.69255446695,3869.29774046887,3729.87887533039,"PE","Região Nordeste"
"23",2027-01-01,3807.78853647553,3879.67536090344,3733.64942882575,"PE","Região Nordeste"
"24",2027-02-01,3814.8845184841,3890.06730509554,3737.41081467954,"PE","Região Nordeste"
"25",2027-03-01,3821.29379255636,3899.77277843178,3740.49085861072,"PE","Região Nordeste"
"26",2027-04-01,3828.38977456494,3910.19284935744,3744.23452230928,"PE","Região Nordeste"
"27",2027-05-01,3835.25685392807,3920.39330902845,3747.74537694394,"PE","Região Nordeste"
"28",2027-06-01,3842.35283593665,3930.84195140998,3751.47098578157,"PE","Região Nordeste"
"29",2027-07-01,3849.21991529979,3941.07063452959,3754.96419322999,"PE","Região Nordeste"
"30",2027-08-01,3856.31589730836,3951.54791377061,3758.6717979682,"PE","Região Nordeste"
"31",2027-09-01,3863.41187931693,3962.03963141604,3762.37032432964,"PE","Região Nordeste"
"32",2027-10-01,3870.27895868007,3972.31086683274,3765.83705955799,"PE","Região Nordeste"
"33",2027-11-01,3877.37494068865,3982.83131985574,3769.51765789882,"PE","Região Nordeste"
"34",2027-12-01,3884.24202005178,3993.13094126358,3772.96687099979,"PE","Região Nordeste"
"35",2028-01-01,3891.33800206036,4003.6801954116,3776.62959177987,"PE","Região Nordeste"
"36",2028-02-01,3898.43398406893,4014.2439706146,3780.28329774618,"PE","Região Nordeste"
"37",2028-03-01,3905.07216078663,4024.35049480919,3783.4844504933,"PE","Região Nordeste"
"38",2028-04-01,3912.16814279521,4034.94297827283,3787.12054403806,"PE","Região Nordeste"
"39",2028-05-01,3919.03522215834,4045.31375415481,3790.52626389006,"PE","Região Nordeste"
"40",2028-06-01,3926.13120416692,4055.93520355978,3794.1446053371,"PE","Região Nordeste"
"41",2028-07-01,3932.99828353006,4066.33459405633,3797.53297650397,"PE","Região Nordeste"
"42",2028-08-01,3940.09426553863,4076.98507563366,3801.13361589428,"PE","Região Nordeste"
"43",2028-09-01,3947.19024754721,4087.65019451814,3804.72532863237,"PE","Região Nordeste"
"44",2028-10-01,3954.05732691034,4098.09272653908,3808.08767496647,"PE","Região Nordeste"
"45",2028-11-01,3961.15330891892,4108.78697735973,3811.66176064718,"PE","Região Nordeste"
"46",2028-12-01,3968.02038828206,4119.25828859777,3815.00688157367,"PE","Região Nordeste"
"47",2029-01-01,3975.11637029063,4129.98173793356,3818.56338994031,"PE","Região Nordeste"
"48",2029-02-01,3982.2123522992,4140.71990827109,3822.11103431705,"PE","Região Nordeste"
"49",2029-03-01,3988.62162637147,4150.75819400613,3824.99129101907,"PE","Região Nordeste"
"50",2029-04-01,3995.71760838004,4161.52527558282,3828.52180779128,"PE","Região Nordeste"
"51",2029-05-01,4002.58468774318,4172.06853309732,3831.8243606207,"PE","Região Nordeste"
"52",2029-06-01,4009.68066975175,4182.86497977463,3835.33742343852,"PE","Região Nordeste"
