"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,3831.04349942709,3834.16005375328,3827.76978492269,"PE","Região Nordeste"
"2",2025-04-01,3847.61921980553,3853.8818434456,3841.04627169838,"PE","Região Nordeste"
"3",2025-05-01,3863.6602395266,3873.09717645813,3853.76394218935,"PE","Região Nordeste"
"4",2025-06-01,3880.23595990504,3892.8776650884,3866.98994817288,"PE","Região Nordeste"
"5",2025-07-01,3896.27697962611,3912.15089433648,3879.65811626233,"PE","Região Nordeste"
"6",2025-08-01,3912.85270000455,3931.99022074015,3892.83377518262,"PE","Região Nordeste"
"7",2025-09-01,3929.42842038299,3951.85923673967,3905.98408333471,"PE","Região Nordeste"
"8",2025-10-01,3945.46944010406,3971.21978709689,3918.57801816387,"PE","Região Nordeste"
"9",2025-11-01,3962.0451604825,3991.14785003474,3931.67817965411,"PE","Região Nordeste"
"10",2025-12-01,3978.08618020357,4010.56664144613,3944.22294193741,"PE","Região Nordeste"
"11",2026-01-01,3994.66190058201,4030.55389090055,3957.27308972136,"PE","Região Nordeste"
"12",2026-02-01,4011.23762096045,4050.57100549186,3970.29805409556,"PE","Região Nordeste"
"13",2026-03-01,4026.20923936678,4068.99687137884,3981.7114951649,"PE","Região Nordeste"
"14",2026-04-01,4042.78495974522,4089.07250356675,3994.68754880392,"PE","Região Nordeste"
"15",2026-05-01,4058.82597946629,4108.63684339298,4007.11063049603,"PE","Região Nordeste"
"16",2026-06-01,4075.40169984473,4128.77201127462,4020.03700031408,"PE","Região Nordeste"
"17",2026-07-01,4091.4427195658,4148.39507643353,4032.41136634943,"PE","Região Nordeste"
"18",2026-08-01,4108.01843994424,4168.58992063084,4045.28818422923,"PE","Região Nordeste"
"19",2026-09-01,4124.59416032268,4188.8148765093,4058.14005053202,"PE","Região Nordeste"
"20",2026-10-01,4140.63518004375,4208.52651189589,4070.44136231516,"PE","Região Nordeste"
"21",2026-11-01,4157.21090042219,4228.8113559449,4083.24387431532,"PE","Região Nordeste"
"22",2026-12-01,4173.25192014326,4248.58206592888,4095.49679573002,"PE","Região Nordeste"
"23",2027-01-01,4189.8276405217,4268.92693952221,4108.25008454687,"PE","Região Nordeste"
"24",2027-02-01,4206.40336090014,4289.30210259255,4120.97858683794,"PE","Região Nordeste"
"25",2027-03-01,4221.37497930647,4308.07054509133,4132.11215311993,"PE","Região Nordeste"
"26",2027-04-01,4237.95069968491,4328.50506286824,4144.79252322427,"PE","Região Nordeste"
"27",2027-05-01,4253.99171940598,4348.42340646382,4156.9257046325,"PE","Região Nordeste"
"28",2027-06-01,4270.56743978442,4368.91830745627,4169.55717687736,"PE","Região Nordeste"
"29",2027-07-01,4286.60845950549,4388.89621617462,4181.64241847073,"PE","Região Nordeste"
"30",2027-08-01,4303.18417988393,4409.4516428127,4194.22512291641,"PE","Região Nordeste"
"31",2027-09-01,4319.75990026237,4430.03760864019,4206.78326946849,"PE","Região Nordeste"
"32",2027-10-01,4335.80091998344,4450.10535280574,4218.79661948394,"PE","Região Nordeste"
"33",2027-11-01,4352.37664036188,4470.75205885636,4231.30619314225,"PE","Região Nordeste"
"34",2027-12-01,4368.41766008295,4490.87972190954,4243.27192412271,"PE","Região Nordeste"
"35",2028-01-01,4384.99338046139,4511.58731137432,4255.73305419395,"PE","Região Nordeste"
"36",2028-02-01,4401.56910083983,4532.32562010659,4268.16978914533,"PE","Região Nordeste"
"37",2028-03-01,4417.07541990353,4551.99261877853,4279.54605696576,"PE","Região Nordeste"
"38",2028-04-01,4433.65114028197,4572.79157838297,4291.93498479408,"PE","Região Nordeste"
"39",2028-05-01,4449.69216000305,4593.06943577346,4303.78244710651,"PE","Região Nordeste"
"40",2028-06-01,4466.26788038149,4613.92963774153,4316.12325292512,"PE","Região Nordeste"
"41",2028-07-01,4482.30890010256,4634.26791159807,4327.92354125791,"PE","Região Nordeste"
"42",2028-08-01,4498.884620481,4655.18950019116,4340.21635332685,"PE","Região Nordeste"
"43",2028-09-01,4515.46034085944,4676.14206133658,4352.48499612569,"PE","Região Nordeste"
"44",2028-10-01,4531.50136058051,4696.57145325399,4364.21454056266,"PE","Região Nordeste"
"45",2028-11-01,4548.07708095895,4717.58561835933,4376.43538182024,"PE","Região Nordeste"
"46",2028-12-01,4564.11810068002,4738.07578506547,4388.11806860392,"PE","Região Nordeste"
"47",2029-01-01,4580.69382105845,4759.1516991623,4400.29123583639,"PE","Região Nordeste"
"48",2029-02-01,4597.2695414369,4780.25876820087,4412.44039432266,"PE","Região Nordeste"
"49",2029-03-01,4612.24115984323,4799.72772056787,4423.02728136416,"PE","Região Nordeste"
"50",2029-04-01,4628.81688022167,4820.89585177081,4435.12983325811,"PE","Região Nordeste"
"51",2029-05-01,4644.85789994274,4841.53790534438,4446.69658261685,"PE","Região Nordeste"
"52",2029-06-01,4661.43362032118,4862.76814836546,4458.75177685888,"PE","Região Nordeste"
"53",2029-07-01,4677.47464004225,4883.47147997978,4470.2721066865,"PE","Região Nordeste"
"54",2029-08-01,4694.05036042069,4904.76398093271,4482.28006976085,"PE","Região Nordeste"
"55",2029-09-01,4710.62608079913,4926.08789299391,4494.26424644084,"PE","Região Nordeste"
"56",2029-10-01,4726.6671005202,4946.88364069058,4505.71496299702,"PE","Região Nordeste"
"57",2029-11-01,4743.24282089864,4968.27003080758,4517.65209805742,"PE","Região Nordeste"
"58",2029-12-01,4759.28384061971,4989.12741947783,4529.05670701599,"PE","Região Nordeste"
"59",2030-01-01,4775.85956099815,5010.57643454386,4540.94692620675,"PE","Região Nordeste"
"60",2030-02-01,4792.43528137659,5032.05704544543,4552.81351730776,"PE","Região Nordeste"
"61",2030-03-01,4807.40689978292,5051.88361213968,4563.13391734949,"PE","Região Nordeste"
"62",2030-04-01,4823.98262016136,5073.42615508885,4574.95464842357,"PE","Região Nordeste"
"63",2030-05-01,4840.02363988243,5094.43759752332,4586.24518075067,"PE","Região Nordeste"
"64",2030-06-01,4856.59936026087,5116.04313290786,4598.01930794093,"PE","Região Nordeste"
"65",2030-07-01,4872.64037998194,5137.11672604537,4609.26416469926,"PE","Região Nordeste"
"66",2030-08-01,4889.21610036038,5158.78540185375,4620.99181273705,"PE","Região Nordeste"
"67",2030-09-01,4905.79182073882,5180.48593294902,4632.69605195842,"PE","Região Nordeste"
"68",2030-10-01,4921.83284045989,5201.65325688527,4643.87241036007,"PE","Região Nordeste"
"69",2030-11-01,4938.40856083833,5223.41715135119,4655.530357351,"PE","Região Nordeste"
"70",2030-12-01,4954.4495805594,5244.64699358942,4666.66134778127,"PE","Região Nordeste"
"71",2031-01-01,4971.02530093784,5266.47440020344,4678.27312654829,"PE","Região Nordeste"
