"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1990.45550247778,1992.07473825735,1988.75461261584,"PI","Região Nordeste"
"2",2025-04-01,1994.76682021876,1998.0136263945,1991.35912885272,"PI","Região Nordeste"
"3",2025-05-01,1998.9390631939,2003.82144432989,1993.81902310186,"PI","Região Nordeste"
"4",2025-06-01,2003.25038093488,2009.77691720379,1996.41185917422,"PI","Região Nordeste"
"5",2025-07-01,2007.42262391003,2015.60111216593,1998.86032649776,"PI","Região Nordeste"
"6",2025-08-01,2011.73394165101,2021.57320803147,2001.44151471156,"PI","Região Nordeste"
"7",2025-09-01,2016.04525939199,2027.55368660894,2004.01683196967,"PI","Região Nordeste"
"8",2025-10-01,2020.21750236713,2033.402575139,2006.44815955715,"PI","Região Nordeste"
"9",2025-11-01,2024.52882010811,2039.39973433414,2009.01187737361,"PI","Região Nordeste"
"10",2025-12-01,2028.70106308326,2045.26509494866,2011.43185765179,"PI","Região Nordeste"
"11",2026-01-01,2033.01238082424,2051.2789732183,2013.98400814196,"PI","Região Nordeste"
"12",2026-02-01,2037.32369856522,2057.30128254875,2016.53032812339,"PI","Região Nordeste"
"13",2026-03-01,2041.21779200869,2062.91037442268,2018.65821257078,"PI","Região Nordeste"
"14",2026-04-01,2045.52910974967,2068.94923207834,2021.19324841555,"PI","Região Nordeste"
"15",2026-05-01,2049.70135272481,2074.85576823497,2023.5851749736,"PI","Região Nordeste"
"16",2026-06-01,2054.01267046579,2080.91144118277,2026.10872314771,"PI","Região Nordeste"
"17",2026-07-01,2058.18491344093,2086.83458294003,2028.48941262678,"PI","Região Nordeste"
"18",2026-08-01,2062.49623118191,2092.90710992055,2031.00150498126,"PI","Região Nordeste"
"19",2026-09-01,2066.8075489229,2098.98813587339,2033.50782283262,"PI","Região Nordeste"
"20",2026-10-01,2070.97979189804,2104.93631552235,2035.87165710444,"PI","Região Nordeste"
"21",2026-11-01,2075.29110963902,2111.03425386519,2038.36656687155,"PI","Região Nordeste"
"22",2026-12-01,2079.46335261416,2116.9991353816,2040.7192425558,"PI","Região Nordeste"
"23",2027-01-01,2083.77467035514,2123.11402505938,2043.20277590159,"PI","Região Nordeste"
"24",2027-02-01,2088.08598809612,2129.23746267123,2045.68057462256,"PI","Região Nordeste"
"25",2027-03-01,2091.98008153959,2134.94366512759,2047.74424479929,"PI","Região Nordeste"
"26",2027-04-01,2096.29139928057,2141.08388181763,2050.21094721169,"PI","Região Nordeste"
"27",2027-05-01,2100.46364225572,2147.0905137743,2052.5360372253,"PI","Região Nordeste"
"28",2027-06-01,2104.7749599967,2153.24777923874,2054.99144174831,"PI","Região Nordeste"
"29",2027-07-01,2108.94720297184,2159.27124827793,2057.30548184463,"PI","Região Nordeste"
"30",2027-08-01,2113.25852071282,2165.44560174889,2059.74961988031,"PI","Região Nordeste"
"31",2027-09-01,2117.5698384538,2171.62857192658,2062.18807850813,"PI","Região Nordeste"
"32",2027-10-01,2121.74208142894,2177.67742755961,2064.48554390348,"PI","Região Nordeste"
"33",2027-11-01,2126.05339916993,2183.87754484115,2066.91278310667,"PI","Região Nordeste"
"34",2027-12-01,2130.22564214507,2189.94333504717,2069.19927596593,"PI","Região Nordeste"
"35",2028-01-01,2134.53695988605,2196.16063887151,2071.61532696086,"PI","Região Nordeste"
"36",2028-02-01,2138.84827762703,2202.38660898456,2074.02573786502,"PI","Região Nordeste"
"37",2028-03-01,2142.88144583633,2208.33460991198,2076.1610274416,"PI","Região Nordeste"
"38",2028-04-01,2147.19276357732,2214.5777093835,2078.56041206437,"PI","Região Nordeste"
"39",2028-05-01,2151.36500655246,2220.68594893133,2080.81966562678,"PI","Região Nordeste"
"40",2028-06-01,2155.67632429344,2226.94633381141,2083.20793966088,"PI","Região Nordeste"
"41",2028-07-01,2159.84856726858,2233.0716450566,2085.45632801434,"PI","Região Nordeste"
"42",2028-08-01,2164.15988500956,2239.3493550751,2087.83352241832,"PI","Região Nordeste"
"43",2028-09-01,2168.47120275055,2245.63580112165,2090.20513126818,"PI","Região Nordeste"
"44",2028-10-01,2172.64344572569,2251.78685237942,2092.43722175105,"PI","Região Nordeste"
"45",2028-11-01,2176.95476346667,2258.09068341116,2094.79779736909,"PI","Região Nordeste"
"46",2028-12-01,2181.12700644181,2264.25890509594,2097.01909892763,"PI","Região Nordeste"
"47",2029-01-01,2185.43832418279,2270.58016105203,2099.36867208916,"PI","Região Nordeste"
"48",2029-02-01,2189.74964192377,2276.91020324624,2101.71269845929,"PI","Região Nordeste"
"49",2029-03-01,2193.64373536724,2282.81485741957,2103.65107783147,"PI","Região Nordeste"
"50",2029-04-01,2197.95505310822,2289.16214922736,2105.98437580314,"PI","Região Nordeste"
"51",2029-05-01,2202.12729608336,2295.37329366149,2108.1790084691,"PI","Região Nordeste"
"52",2029-06-01,2206.43861382435,2301.73811032182,2110.50138031173,"PI","Região Nordeste"
"53",2029-07-01,2210.61085679949,2307.96656385858,2112.68532966324,"PI","Região Nordeste"
"54",2029-08-01,2214.92217454047,2314.34894560476,2114.996805898,"PI","Região Nordeste"
"55",2029-09-01,2219.23349228145,2320.74018411576,2117.30278901113,"PI","Região Nordeste"
"56",2029-10-01,2223.40573525659,2326.99473528566,2119.47071310702,"PI","Região Nordeste"
"57",2029-11-01,2227.71705299758,2333.40359948723,2121.76584635532,"PI","Região Nordeste"
"58",2029-12-01,2231.88929597272,2339.67555974275,2123.92316233995,"PI","Região Nordeste"
"59",2030-01-01,2236.2006137137,2346.10209008002,2126.20747606376,"PI","Região Nordeste"
"60",2030-02-01,2240.51193145468,2352.53752802742,2128.48633488195,"PI","Região Nordeste"
