"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1616.79258258642,1618.10784353779,1615.41099625648,"PI","Região Nordeste"
"2",2025-04-01,1616.75847359077,1619.39000994054,1613.99653979701,"PI","Região Nordeste"
"3",2025-05-01,1616.7254648853,1620.67429457059,1612.58441859206,"PI","Região Nordeste"
"4",2025-06-01,1616.69135588965,1621.95849317326,1611.17243567741,"PI","Região Nordeste"
"5",2025-07-01,1616.65834718418,1623.24481340648,1609.76278397903,"PI","Região Nordeste"
"6",2025-08-01,1616.62423818853,1624.53104742772,1608.35327028586,"PI","Região Nordeste"
"7",2025-09-01,1616.59012919288,1625.81829991711,1606.94499005225,"PI","Região Nordeste"
"8",2025-10-01,1616.55712048741,1627.10767915178,1605.53903499026,"PI","Região Nordeste"
"9",2025-11-01,1616.52301149176,1628.39697189653,1604.13321750651,"PI","Região Nordeste"
"10",2025-12-01,1616.49000278629,1629.68839480348,1602.72972117358,"PI","Região Nordeste"
"11",2026-01-01,1616.45589379064,1630.979731035,1601.32636213523,"PI","Região Nordeste"
"12",2026-02-01,1616.42178479499,1632.2720897717,1599.92423117346,"PI","Região Nordeste"
"13",2026-03-01,1616.39097666988,1633.56880777243,1598.52659160345,"PI","Região Nordeste"
"14",2026-04-01,1616.35686767423,1634.86321666105,1597.12691078402,"PI","Região Nordeste"
"15",2026-05-01,1616.32385896876,1636.15976427928,1595.72954109497,"PI","Região Nordeste"
"16",2026-06-01,1616.28974997311,1637.45622475775,1594.33230799503,"PI","Região Nordeste"
"17",2026-07-01,1616.25674126765,1638.75482740199,1592.93738202895,"PI","Região Nordeste"
"18",2026-08-01,1616.22263227199,1640.05334271964,1591.54259237028,"PI","Região Nordeste"
"19",2026-09-01,1616.18852327634,1641.35288622285,1590.1490232932,"PI","Região Nordeste"
"20",2026-10-01,1616.15551457088,1642.65457705607,1588.75775536774,"PI","Região Nordeste"
"21",2026-11-01,1616.12140557523,1643.95618028137,1587.36662332785,"PI","Região Nordeste"
"22",2026-12-01,1616.08839686976,1645.25993428667,1585.97778846031,"PI","Região Nordeste"
"23",2027-01-01,1616.05428787411,1646.56360049626,1584.58908919806,"PI","Região Nordeste"
"24",2027-02-01,1616.02017887845,1647.86829896694,1583.20160519058,"PI","Região Nordeste"
"25",2027-03-01,1615.98937075335,1649.17739917692,1581.81856644718,"PI","Região Nordeste"
"26",2027-04-01,1615.9552617577,1650.48416736108,1580.4335070005,"PI","Região Nordeste"
"27",2027-05-01,1615.92225305223,1651.79309497558,1579.05073480925,"PI","Região Nordeste"
"28",2027-06-01,1615.88814405658,1653.10193432438,1577.66809752623,"PI","Região Nordeste"
"29",2027-07-01,1615.85513535111,1654.41293657293,1576.2877435434,"PI","Região Nordeste"
"30",2027-08-01,1615.82102635546,1655.72385036668,1574.90752419048,"PI","Região Nordeste"
"31",2027-09-01,1615.78691735981,1657.03580215604,1573.52851267555,"PI","Região Nordeste"
"32",2027-10-01,1615.75390865434,1658.34992205937,1572.15177854036,"PI","Região Nordeste"
"33",2027-11-01,1615.71979965869,1659.66395322315,1570.77517861826,"PI","Região Nordeste"
"34",2027-12-01,1615.68679095322,1660.98015598425,1569.40085213774,"PI","Região Nordeste"
"35",2028-01-01,1615.65268195757,1662.29626981574,1568.02665959338,"PI","Região Nordeste"
"36",2028-02-01,1615.61857296192,1663.61342575724,1566.65366961578,"PI","Região Nordeste"
"37",2028-03-01,1615.58666454664,1664.9338924292,1565.2840132166,"PI","Região Nordeste"
"38",2028-04-01,1615.55255555099,1666.25313690982,1563.91342339618,"PI","Região Nordeste"
"39",2028-05-01,1615.51954684552,1667.57456172107,1562.54509720206,"PI","Região Nordeste"
"40",2028-06-01,1615.48543784987,1668.89589712624,1561.1769042546,"PI","Região Nordeste"
"41",2028-07-01,1615.4524291444,1670.21941636502,1559.81097101906,"PI","Região Nordeste"
"42",2028-08-01,1615.41832014875,1671.54284600632,1558.44517075518,"PI","Região Nordeste"
"43",2028-09-01,1615.3842111531,1672.86732354608,1557.08056571791,"PI","Região Nordeste"
"44",2028-10-01,1615.35120244763,1674.19399018412,1555.71821453325,"PI","Região Nordeste"
"45",2028-11-01,1615.31709345198,1675.52056693646,1554.35599590843,"PI","Região Nordeste"
"46",2028-12-01,1615.28408474651,1676.84933630416,1552.99602723874,"PI","Região Nordeste"
"47",2029-01-01,1615.24997575086,1678.17801559378,1551.63619085527,"PI","Região Nordeste"
"48",2029-02-01,1615.21586675521,1679.50774693547,1550.27754448219,"PI","Região Nordeste"
"49",2029-03-01,1615.1850586301,1680.84196621181,1548.92325253338,"PI","Região Nordeste"
"50",2029-04-01,1615.15094963445,1682.17380694989,1547.56698035457,"PI","Região Nordeste"
"51",2029-05-01,1615.11794092898,1683.5078491219,1546.21294841778,"PI","Região Nordeste"
"52",2029-06-01,1615.08383193333,1684.84180073432,1544.85904808672,"PI","Região Nordeste"
"53",2029-07-01,1615.05082322787,1686.17795731756,1543.50738412371,"PI","Região Nordeste"
"54",2029-08-01,1615.01671423221,1687.51402314749,1542.15585149473,"PI","Região Nordeste"
"55",2029-09-01,1614.98260523656,1688.85114687388,1540.80550161334,"PI","Região Nordeste"
"56",2029-10-01,1614.9495965311,1690.19048088669,1539.45738230123,"PI","Região Nordeste"
"57",2029-11-01,1614.91548753544,1691.52972385447,1538.10939391623,"PI","Região Nordeste"
"58",2029-12-01,1614.88247882998,1692.87118065979,1536.76363224328,"PI","Região Nordeste"
"59",2030-01-01,1614.84836983433,1694.21254622537,1535.41800122711,"PI","Região Nordeste"
"60",2030-02-01,1614.81426083867,1695.55497388061,1534.07354779674,"PI","Região Nordeste"
"61",2030-03-01,1614.78345271357,1696.90193319945,1532.73340406961,"PI","Região Nordeste"
"62",2030-04-01,1614.74934371792,1698.24649037749,1531.39130004455,"PI","Região Nordeste"
"63",2030-05-01,1614.71633501245,1699.59327029699,1530.05141311874,"PI","Região Nordeste"
