"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,5094.47786574457,5098.62222407268,5090.12451760745,"PR","Região Sul"
"2",2025-04-01,5100.1820124727,5108.48338498784,5091.46929175117,"PR","Região Sul"
"3",2025-05-01,5105.70215446767,5118.17276167324,5092.62451732993,"PR","Região Sul"
"4",2025-06-01,5111.40630119581,5128.05912648782,5093.95742733013,"PR","Região Sul"
"5",2025-07-01,5116.92644319078,5137.77343491216,5095.10112074924,"PR","Região Sul"
"6",2025-08-01,5122.63058991891,5147.68505954801,5096.42220321681,"PR","Região Sul"
"7",2025-09-01,5128.33473664705,5157.6094103112,5097.73730740297,"PR","Região Sul"
"8",2025-10-01,5133.85487864202,5167.36129569651,5098.86369196143,"PR","Região Sul"
"9",2025-11-01,5139.55902537015,5177.31099050236,5100.16702349536,"PR","Região Sul"
"10",2025-12-01,5145.07916736512,5187.08794669151,5101.28196593451,"PR","Região Sul"
"11",2026-01-01,5150.78331409326,5197.06304175067,5102.5735612011,"PR","Região Sul"
"12",2026-02-01,5156.4874608214,5207.05093356808,5103.85922406795,"PR","Região Sul"
"13",2026-03-01,5161.63959335003,5216.49375575663,5104.59305040302,"PR","Região Sul"
"14",2026-04-01,5167.34374007817,5226.50682992622,5105.86734254127,"PR","Região Sul"
"15",2026-05-01,5172.86388207314,5236.34648030345,5106.95406918871,"PR","Região Sul"
"16",2026-06-01,5178.56802880127,5246.38509539094,5108.21671523026,"PR","Região Sul"
"17",2026-07-01,5184.08817079624,5256.25001192995,5109.29212429371,"PR","Região Sul"
"18",2026-08-01,5189.79231752438,5266.31422455182,5110.54316031016,"PR","Região Sul"
"19",2026-09-01,5195.49646425252,5276.391333156,5111.78832739538,"PR","Região Sul"
"20",2026-10-01,5201.01660624749,5286.2943303235,5112.84674925987,"PR","Região Sul"
"21",2026-11-01,5206.72075297562,5296.39712172919,5114.08036039235,"PR","Região Sul"
"22",2026-12-01,5212.24089497059,5306.32552585346,5115.12755338102,"PR","Região Sul"
"23",2027-01-01,5217.94504169873,5316.45405696938,5116.34964440936,"PR","Região Sul"
"24",2027-02-01,5223.64918842686,5326.59555557471,5117.5659117137,"PR","Região Sul"
"25",2027-03-01,5228.8013209555,5336.18668499423,5118.23602273764,"PR","Região Sul"
"26",2027-04-01,5234.50546768364,5346.35370349275,5119.44113149895,"PR","Região Sul"
"27",2027-05-01,5240.02560967861,5356.34564299953,5120.46063710891,"PR","Região Sul"
"28",2027-06-01,5245.72975640674,5366.53854362043,5121.65431460532,"PR","Região Sul"
"29",2027-07-01,5251.24989840171,5376.55608787311,5122.66271402821,"PR","Região Sul"
"30",2027-08-01,5256.95404512985,5386.77492793578,5123.84499579922,"PR","Região Sul"
"31",2027-09-01,5262.65819185798,5397.00683594318,5125.02151637984,"PR","Região Sul"
"32",2027-10-01,5268.17833385295,5407.06297075645,5126.01324550257,"PR","Região Sul"
"33",2027-11-01,5273.88248058109,5417.32090453089,5127.17842363287,"PR","Região Sul"
"34",2027-12-01,5279.40262257606,5427.40278663571,5128.15913396233,"PR","Região Sul"
"35",2028-01-01,5285.10676930419,5437.68680379226,5129.31300496181,"PR","Região Sul"
"36",2028-02-01,5290.81091603233,5447.98396128725,5130.46115931266,"PR","Região Sul"
"37",2028-03-01,5296.14705329413,5457.91502357618,5131.24705476066,"PR","Região Sul"
"38",2028-04-01,5301.85120002227,5468.23819696368,5132.38410726669,"PR","Região Sul"
"39",2028-05-01,5307.37134201724,5478.38462049983,5133.33749857299,"PR","Região Sul"
"40",2028-06-01,5313.07548874537,5488.73402170102,5134.46333173408,"PR","Região Sul"
"41",2028-07-01,5318.59563074034,5498.90639302921,5135.40582537405,"PR","Região Sul"
"42",2028-08-01,5324.29977746848,5509.28208007509,5136.52047420424,"PR","Região Sul"
"43",2028-09-01,5330.00392419661,5519.67100928651,5137.62946812669,"PR","Região Sul"
"44",2028-10-01,5335.52406619158,5529.88248782406,5138.55560405532,"PR","Região Sul"
"45",2028-11-01,5341.22821291972,5540.29779027675,5139.65346613468,"PR","Região Sul"
"46",2028-12-01,5346.74835491469,5550.53536092448,5140.5687904929,"PR","Região Sul"
"47",2029-01-01,5352.45250164282,5560.97709494867,5141.65555552614,"PR","Região Sul"
"48",2029-02-01,5358.15664837096,5571.43214442969,5142.73670953628,"PR","Região Sul"
"49",2029-03-01,5363.3087808996,5581.3260706697,5143.28289310552,"PR","Região Sul"
"50",2029-04-01,5369.01292762773,5591.80732802392,5144.3533038036,"PR","Região Sul"
"51",2029-05-01,5374.5330696227,5602.1101486067,5145.24197481846,"PR","Região Sul"
"52",2029-06-01,5380.23721635084,5612.61798350325,5146.3013746989,"PR","Região Sul"
"53",2029-07-01,5385.75735834581,5622.94709893616,5147.17935321128,"PR","Região Sul"
"54",2029-08-01,5391.46150507394,5633.48157012571,5148.22777677016,"PR","Região Sul"
"55",2029-09-01,5397.16565180208,5644.02945973468,5149.27065000619,"PR","Região Sul"
"56",2029-10-01,5402.68579379705,5654.39820506602,5150.13257836662,"PR","Região Sul"
"57",2029-11-01,5408.38994052518,5664.97281944797,5151.16452699278,"PR","Região Sul"
"58",2029-12-01,5413.91008252015,5675.36800574006,5152.01584766725,"PR","Região Sul"
