"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,6274.75319441157,6279.85770685492,6269.39127394599,"PR","Região Sul"
"2",2025-04-01,6309.48803034185,6319.75774432296,6298.70943323105,"PR","Região Sul"
"3",2025-05-01,6343.10238769375,6358.59532792967,6326.85529986055,"PR","Região Sul"
"4",2025-06-01,6377.83722362403,6398.61604705685,6356.0651181225,"PR","Região Sul"
"5",2025-07-01,6411.45158097592,6437.57262834969,6384.10469615617,"PR","Região Sul"
"6",2025-08-01,6446.18641690621,6477.71431628739,6413.20645799592,"PR","Região Sul"
"7",2025-09-01,6480.9212528365,6517.91705448807,6442.25382185679,"PR","Região Sul"
"8",2025-10-01,6514.53561018839,6557.05312426527,6470.13401780568,"PR","Região Sul"
"9",2025-11-01,6549.27044611868,6597.37726390261,6499.07375172942,"PR","Região Sul"
"10",2025-12-01,6582.88480347057,6636.63304446831,6526.84836120144,"PR","Região Sul"
"11",2026-01-01,6617.61963940085,6677.07887423487,6555.68074814971,"PR","Região Sul"
"12",2026-02-01,6652.35447533114,6717.58611736855,6584.45909326037,"PR","Região Sul"
"13",2026-03-01,6683.72787552624,6754.75768838608,6609.85918275881,"PR","Região Sul"
"14",2026-04-01,6718.46271145653,6795.38521420311,6638.53249870856,"PR","Região Sul"
"15",2026-05-01,6752.07706880842,6834.94014147978,6666.04578201414,"PR","Região Sul"
"16",2026-06-01,6786.81190473871,6875.69007961551,6694.61245311379,"PR","Região Sul"
"17",2026-07-01,6820.4262620906,6915.36571917038,6722.02112254451,"PR","Região Sul"
"18",2026-08-01,6855.16109802088,6956.23836048273,6750.48142948166,"PR","Região Sul"
"19",2026-09-01,6889.89593395117,6997.1729251243,6778.888187966,"PR","Região Sul"
"20",2026-10-01,6923.51029130306,7037.03063645059,6806.1399849858,"PR","Região Sul"
"21",2026-11-01,6958.24512723335,7078.08834247605,6834.4407999302,"PR","Região Sul"
"22",2026-12-01,6991.85948458524,7118.06748840695,6861.58867551193,"PR","Região Sul"
"23",2027-01-01,7026.59432051553,7159.24862823415,6889.78382598575,"PR","Região Sul"
"24",2027-02-01,7061.32915644582,7200.49205917325,6917.92577925778,"PR","Região Sul"
"25",2027-03-01,7092.70255664091,7238.3673848322,6942.72424895447,"PR","Região Sul"
"26",2027-04-01,7127.4373925712,7279.73282967039,6970.76283041108,"PR","Região Sul"
"27",2027-05-01,7161.05174992309,7320.01543449467,6997.6535110923,"PR","Região Sul"
"28",2027-06-01,7195.78658585338,7361.50504464813,7025.58712053436,"PR","Região Sul"
"29",2027-07-01,7229.40094320527,7401.9100985265,7052.37483894829,"PR","Região Sul"
"30",2027-08-01,7264.13577913556,7443.52416860477,7080.20375320029,"PR","Região Sul"
"31",2027-09-01,7298.87061506585,7485.20104633051,7107.97995685114,"PR","Região Sul"
"32",2027-10-01,7332.48497241774,7525.79078867127,7134.6132779018,"PR","Região Sul"
