"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,5643.45200837608,5648.04295723219,5638.62954924779,"RJ","Região Sudeste"
"2",2025-04-01,5664.91691564699,5674.13748571078,5655.23944945539,"RJ","Região Sudeste"
"3",2025-05-01,5685.68940655432,5699.57662463655,5671.12620237843,"RJ","Região Sudeste"
"4",2025-06-01,5707.15431382523,5725.74807024027,5687.67172725594,"RJ","Região Sudeste"
"5",2025-07-01,5727.92680473256,5751.26308755872,5703.49537097584,"RJ","Região Sudeste"
"6",2025-08-01,5749.39171200347,5777.51163154592,5719.97669199664,"RJ","Região Sudeste"
"7",2025-09-01,5770.85661927438,5803.79907583531,5736.42568093797,"RJ","Região Sudeste"
"8",2025-10-01,5791.62911018171,5829.42853088564,5752.1546840108,"RJ","Região Sudeste"
"9",2025-11-01,5813.09401745262,5855.79334663122,5768.53972606235,"RJ","Região Sudeste"
"10",2025-12-01,5833.86650835995,5881.49913028806,5784.20604284046,"RJ","Região Sudeste"
"11",2026-01-01,5855.33141563086,5907.94149971609,5800.52730848139,"RJ","Região Sudeste"
"12",2026-02-01,5876.79632290177,5934.42299861243,5816.81645664913,"RJ","Região Sudeste"
"13",2026-03-01,5896.18398108195,5958.84434855397,5831.01923902331,"RJ","Região Sudeste"
"14",2026-04-01,5917.64888835285,5985.402537129,5847.24603655057,"RJ","Região Sudeste"
"15",2026-05-01,5938.42137926019,6011.29907856489,5862.75724989998,"RJ","Região Sudeste"
"16",2026-06-01,5959.88628653109,6037.93527669838,5878.92069398515,"RJ","Região Sudeste"
"17",2026-07-01,5980.65877743843,6063.90877904982,5894.3698067853,"RJ","Região Sudeste"
"18",2026-08-01,6002.12368470933,6090.62317032798,5910.4700665284,"RJ","Região Sudeste"
"19",2026-09-01,6023.58859198024,6117.37701293856,5926.5385060649,"RJ","Região Sudeste"
"20",2026-10-01,6044.36108288757,6143.46658392042,5941.89448979508,"RJ","Região Sudeste"
"21",2026-11-01,6065.82599015848,6170.29889625347,5957.89999840082,"RJ","Região Sudeste"
"22",2026-12-01,6086.59848106581,6196.46588415838,5973.19429861894,"RJ","Região Sudeste"
"23",2027-01-01,6108.06338833672,6223.37685077976,5989.13704441251,"RJ","Região Sudeste"
"24",2027-02-01,6129.52829560763,6250.32750083772,6005.04818163966,"RJ","Região Sudeste"
"25",2027-03-01,6148.91595378781,6275.19797094818,6018.89442793208,"RJ","Região Sudeste"
"26",2027-04-01,6170.38086105872,6302.22640364922,6034.74421263649,"RJ","Região Sudeste"
"27",2027-05-01,6191.15335196605,6328.58687192165,6049.88589721633,"RJ","Região Sudeste"
"28",2027-06-01,6212.61825923696,6355.69442064298,6065.67333621324,"RJ","Região Sudeste"
"29",2027-07-01,6233.39075014429,6382.13294628783,6080.75391488249,"RJ","Região Sudeste"
"30",2027-08-01,6254.8556574152,6409.31979697175,6096.47917492908,"RJ","Região Sudeste"
"31",2027-09-01,6276.32056468611,6436.54665708447,6112.17311956132,"RJ","Região Sudeste"
"32",2027-10-01,6297.09305559344,6463.1029032392,6127.16205974116,"RJ","Região Sudeste"
"33",2027-11-01,6318.55796286434,6490.40934543988,6142.79407532461,"RJ","Região Sudeste"
"34",2027-12-01,6339.33045377168,6517.04411083857,6157.72232083564,"RJ","Região Sudeste"
"35",2028-01-01,6360.79536104259,6544.43032206102,6173.29257315873,"RJ","Região Sudeste"
"36",2028-02-01,6382.26026831349,6571.85677779007,6188.83171877971,"RJ","Região Sudeste"
"37",2028-03-01,6402.34034285725,6597.89639368002,6202.99808469784,"RJ","Região Sudeste"
"38",2028-04-01,6423.80525012816,6625.40231956323,6218.47628877167,"RJ","Região Sudeste"
"39",2028-05-01,6444.57774103549,6652.23390392827,6233.25379903648,"RJ","Região Sudeste"
"40",2028-06-01,6466.0426483064,6679.82006743701,6248.6706521457,"RJ","Região Sudeste"
"41",2028-07-01,6486.81513921373,6706.73082068015,6263.3880382829,"RJ","Região Sudeste"
"42",2028-08-01,6508.28004648464,6734.39741014289,6278.74370487043,"RJ","Região Sudeste"
"43",2028-09-01,6529.74495375554,6762.10457475637,6294.06855433462,"RJ","Região Sudeste"
"44",2028-10-01,6550.51744466288,6789.1347230457,6308.69577330212,"RJ","Região Sudeste"
"45",2028-11-01,6571.98235193379,6816.92259733142,6323.9596826791,"RJ","Região Sudeste"
"46",2028-12-01,6592.75484284112,6844.03238230942,6338.52718303604,"RJ","Região Sudeste"
"47",2029-01-01,6614.21975011202,6871.90115559937,6353.73031581245,"RJ","Região Sudeste"
"48",2029-02-01,6635.68465738293,6899.81074212943,6368.90283728548,"RJ","Região Sudeste"
"49",2029-03-01,6655.07231556311,6925.5995010629,6382.05275722995,"RJ","Região Sudeste"
"50",2029-04-01,6676.53722283402,6953.58909947038,6397.16588192863,"RJ","Região Sudeste"
"51",2029-05-01,6697.30971374135,6980.8979179556,6411.58564122863,"RJ","Região Sudeste"
"52",2029-06-01,6718.77462101226,7008.96888902893,6426.63839492551,"RJ","Região Sudeste"
"53",2029-07-01,6739.54711191959,7036.35800123593,6440.99899723701,"RJ","Região Sudeste"
"54",2029-08-01,6761.0120191905,7064.51053571711,6455.99154209227,"RJ","Região Sudeste"
"55",2029-09-01,6782.47692646141,7092.70421784021,6470.95376072267,"RJ","Região Sudeste"
"56",2029-10-01,6803.24941736874,7120.21441971557,6485.22564524704,"RJ","Região Sudeste"
"57",2029-11-01,6824.71432463965,7148.48995259881,6500.12789805046,"RJ","Região Sudeste"
"58",2029-12-01,6845.48681554698,7176.08092201374,6514.3410254568,"RJ","Região Sudeste"
"59",2030-01-01,6866.95172281789,7204.43849741482,6529.18347364948,"RJ","Região Sudeste"
"60",2030-02-01,6888.4166300888,7232.83746159325,6543.99579858436,"RJ","Região Sudeste"
"61",2030-03-01,6907.80428826897,7259.0949772423,6556.80634057328,"RJ","Região Sudeste"
"62",2030-04-01,6929.26919553988,7287.57508896821,6571.56022574,"RJ","Região Sudeste"
"63",2030-05-01,6950.04168644721,7315.3679209408,6585.62799731677,"RJ","Região Sudeste"
"64",2030-06-01,6971.50659371812,7343.93055491768,6600.32247783181,"RJ","Região Sudeste"
"65",2030-07-01,6992.27908462545,7371.80481990335,6614.33204608046,"RJ","Região Sudeste"
"66",2030-08-01,7013.74399189636,7400.45016931598,6628.96728185072,"RJ","Região Sudeste"
"67",2030-09-01,7035.20889916727,7429.13724618771,6643.57267548432,"RJ","Região Sudeste"
"68",2030-10-01,7055.9813900746,7457.13431721787,6657.49495513541,"RJ","Região Sudeste"
"69",2030-11-01,7077.44629734551,7485.90440055568,6672.04134366317,"RJ","Região Sudeste"
"70",2030-12-01,7098.21878825284,7513.98338449674,6685.90581428305,"RJ","Região Sudeste"
"71",2031-01-01,7119.68369552375,7542.83666851337,6700.39335668012,"RJ","Região Sudeste"
