"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,6369.88514341363,6375.06704570842,6364.44193051655,"RJ","Região Sudeste"
"2",2025-04-01,6410.760311167,6421.19486219245,6399.80870903451,"RJ","Região Sudeste"
"3",2025-05-01,6450.31692512186,6466.07173538909,6433.79522024796,"RJ","Região Sudeste"
"4",2025-06-01,6491.19209287522,6512.34022344631,6469.03302638897,"RJ","Região Sudeste"
"5",2025-07-01,6530.74870683009,6557.35578546162,6502.89298173931,"RJ","Região Sudeste"
"6",2025-08-01,6571.62387458345,6603.7652808179,6538.00215294207,"RJ","Região Sudeste"
"7",2025-09-01,6612.49904233681,6650.24594489089,6573.04657248755,"RJ","Região Sudeste"
"8",2025-10-01,6652.05565629167,6695.47070333881,6606.71675856643,"RJ","Região Sudeste"
"9",2025-11-01,6692.93082404504,6742.09288052777,6641.63304883373,"RJ","Região Sudeste"
"10",2025-12-01,6732.4874379999,6787.45716147753,6675.1775115907,"RJ","Região Sudeste"
"11",2026-01-01,6773.36260575326,6834.22118931306,6709.96600807871,"RJ","Região Sudeste"
"12",2026-02-01,6814.23777350663,6881.05681041266,6744.69017515345,"RJ","Região Sudeste"
"13",2026-03-01,6851.1572798645,6923.9664110148,6775.43815400649,"RJ","Região Sudeste"
"14",2026-04-01,6892.03244761786,6970.94222320944,6810.03725861955,"RJ","Região Sudeste"
"15",2026-05-01,6931.58906157273,7016.65514750212,6843.27053078299,"RJ","Região Sudeste"
"16",2026-06-01,6972.46422932609,7063.77365469319,6877.74267413324,"RJ","Região Sudeste"
"17",2026-07-01,7012.02084328095,7109.62727230921,6910.85137629054,"RJ","Região Sudeste"
"18",2026-08-01,7052.89601103432,7156.88881456292,6945.19689118579,"RJ","Região Sudeste"
"19",2026-09-01,7093.77117878768,7204.22254633026,6979.47866165234,"RJ","Região Sudeste"
"20",2026-10-01,7133.32779274254,7250.28838050967,7012.40057044212,"RJ","Região Sudeste"
"21",2026-11-01,7174.20296049591,7297.76565969207,7046.55621117628,"RJ","Região Sudeste"
"22",2026-12-01,7213.75957445077,7343.9730316789,7079.35437104303,"RJ","Região Sudeste"
"23",2027-01-01,7254.63474220413,7391.59420016924,7113.38421293763,"RJ","Região Sudeste"
"24",2027-02-01,7295.50990995749,7439.28798819927,7147.35072686069,"RJ","Região Sudeste"
"25",2027-03-01,7332.42941631537,7483.01758247951,7177.38197899408,"RJ","Região Sudeste"
"26",2027-04-01,7373.30458406873,7530.85358557474,7211.22539574976,"RJ","Região Sudeste"
"27",2027-05-01,7412.86119802359,7577.41464218327,7243.71726403831,"RJ","Região Sudeste"
"28",2027-06-01,7453.73636577696,7625.39538985465,7277.43570302825,"RJ","Região Sudeste"
"29",2027-07-01,7493.29297973182,7672.09917026729,7309.80495981437,"RJ","Região Sudeste"
"30",2027-08-01,7534.16814748518,7720.22500697418,7343.39874927484,"RJ","Região Sudeste"
"31",2027-09-01,7575.04331523855,7768.42406716795,7376.92978772019,"RJ","Região Sudeste"
"32",2027-10-01,7614.59992919341,7815.34312338934,7409.11518606497,"RJ","Região Sudeste"
"33",2027-11-01,7655.47509694677,7863.68779158612,7442.52206685491,"RJ","Região Sudeste"
"34",2027-12-01,7695.03171090164,7910.75042702826,7474.58566346945,"RJ","Região Sudeste"
