"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1659.77832366425,1661.12855352093,1658.36000503303,"RN","Região Nordeste"
"2",2025-04-01,1663.03025762108,1665.73710879594,1660.18927701476,"RN","Região Nordeste"
"3",2025-05-01,1666.17729048252,1670.24690557087,1661.90957933274,"RN","Região Nordeste"
"4",2025-06-01,1669.42922443935,1674.86818029098,1663.73027228246,"RN","Região Nordeste"
"5",2025-07-01,1672.57625730079,1679.39054001063,1665.44218638363,"RN","Região Nordeste"
"6",2025-08-01,1675.82819125762,1684.02456337239,1667.25432427428,"RN","Região Nordeste"
"7",2025-09-01,1679.08012521445,1688.66501490005,1669.06214901659,"RN","Região Nordeste"
"8",2025-10-01,1682.22715807589,1693.20631624676,1670.76148054529,"RN","Região Nordeste"
"9",2025-11-01,1685.47909203272,1697.85956039574,1672.56078615754,"RN","Região Nordeste"
"10",2025-12-01,1688.62612489416,1702.41349724314,1674.25178853757,"RN","Região Nordeste"
"11",2026-01-01,1691.87805885099,1707.0795633637,1676.04259885062,"RN","Região Nordeste"
"12",2026-02-01,1695.12999280781,1711.75209454755,1677.82912603228,"RN","Região Nordeste"
"13",2026-03-01,1698.0672234785,1716.11305050098,1679.30015091576,"RN","Região Nordeste"
"14",2026-04-01,1701.31915743532,1720.79827537959,1681.07839581375,"RN","Região Nordeste"
"15",2026-05-01,1704.46619029677,1725.38379896046,1682.74881086608,"RN","Região Nordeste"
"16",2026-06-01,1707.71812425359,1730.08191924572,1684.51861956772,"RN","Região Nordeste"
"17",2026-07-01,1710.86515711504,1734.68018023992,1686.18078724417,"RN","Região Nordeste"
"18",2026-08-01,1714.11709107187,1739.39122549806,1687.94218338332,"RN","Região Nordeste"
"19",2026-09-01,1717.36902502869,1744.10878764704,1689.69933795058,"RN","Região Nordeste"
"20",2026-10-01,1720.51605789014,1748.72625308099,1691.34913414164,"RN","Região Nordeste"
"21",2026-11-01,1723.76799184696,1753.45678473913,1693.09791156737,"RN","Região Nordeste"
"22",2026-12-01,1726.91502470841,1758.08706106278,1694.73951861227,"RN","Região Nordeste"
"23",2027-01-01,1730.16695866523,1762.83059195188,1696.47994239009,"RN","Região Nordeste"
"24",2027-02-01,1733.41889262206,1767.58067709569,1698.21615418908,"RN","Região Nordeste"
