"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1683.75054885599,1685.1202801206,1682.31174540872,"RN","Região Nordeste"
"2",2025-04-01,1689.71070066549,1692.46097858396,1686.82414144093,"RN","Região Nordeste"
"3",2025-05-01,1695.47858951341,1699.61977262115,1691.13582663817,"RN","Região Nordeste"
"4",2025-06-01,1701.43874132292,1706.98198332614,1695.63051786383,"RN","Região Nordeste"
"5",2025-07-01,1707.20663017083,1714.16200130641,1699.92484967398,"RN","Região Nordeste"
"6",2025-08-01,1713.16678198034,1721.54577483475,1704.40188341519,"RN","Região Nordeste"
"7",2025-09-01,1719.12693378985,1728.940427362,1708.87002439929,"RN","Região Nordeste"
"8",2025-10-01,1724.89482263776,1736.15245392431,1713.13833201423,"RN","Região Nordeste"
"9",2025-11-01,1730.85497444727,1743.56874547737,1717.5888864304,"RN","Região Nordeste"
"10",2025-12-01,1736.62286329518,1750.8021216242,1721.83995736145,"RN","Região Nordeste"
"11",2026-01-01,1742.58301510469,1758.24010305456,1726.27297225695,"RN","Região Nordeste"
"12",2026-02-01,1748.5431669142,1765.68902743232,1730.69715362295,"RN","Região Nordeste"
"13",2026-03-01,1753.92652983892,1772.56598906055,1734.5420991167,"RN","Região Nordeste"
"14",2026-04-01,1759.88668164843,1780.03636378805,1738.94913642151,"RN","Região Nordeste"
"15",2026-05-01,1765.65457049634,1787.32309730617,1743.15756206678,"RN","Região Nordeste"
"16",2026-06-01,1771.61472230585,1794.81528912773,1747.54717657452,"RN","Região Nordeste"
"17",2026-07-01,1777.38261115376,1802.12354869074,1751.73852716893,"RN","Região Nordeste"
"18",2026-08-01,1783.34276296327,1809.63760883691,1756.11076554563,"RN","Região Nordeste"
"19",2026-09-01,1789.30291477278,1817.16270174695,1760.47425243045,"RN","Região Nordeste"
"20",2026-10-01,1795.07080362069,1824.50342502478,1764.63999594979,"RN","Região Nordeste"
"21",2026-11-01,1801.0309554302,1832.05046343885,1768.98617663727,"RN","Região Nordeste"
"22",2026-12-01,1806.79884427811,1839.41284001793,1773.13496018608,"RN","Região Nordeste"
"23",2027-01-01,1812.75899608762,1846.98187543966,1777.46388107095,"RN","Região Nordeste"
"24",2027-02-01,1818.71914789713,1854.56200839263,1781.78410887166,"RN","Região Nordeste"
"25",2027-03-01,1824.10251082185,1861.56461736308,1785.53106285333,"RN","Região Nordeste"
"26",2027-04-01,1830.06266263136,1869.16650567807,1789.83442201683,"RN","Região Nordeste"
"27",2027-05-01,1835.83055147927,1876.58299943014,1793.94124675435,"RN","Região Nordeste"
"28",2027-06-01,1841.79070328878,1884.20701360175,1798.22746121799,"RN","Região Nordeste"
"29",2027-07-01,1847.55859213669,1891.64533938447,1802.317485367,"RN","Região Nordeste"
"30",2027-08-01,1853.5187439462,1899.2915313,1806.58660114922,"RN","Região Nordeste"
"31",2027-09-01,1859.47889575571,1906.94891171387,1810.84710474759,"RN","Região Nordeste"
"32",2027-10-01,1865.24678460362,1914.42016219231,1814.91193313808,"RN","Região Nordeste"
"33",2027-11-01,1871.20693641313,1922.09979851829,1819.15540701857,"RN","Região Nordeste"
"34",2027-12-01,1876.97482526104,1929.59300991825,1823.20354829901,"RN","Região Nordeste"
"35",2028-01-01,1882.93497707055,1937.29495431999,1827.43003821226,"RN","Região Nordeste"
"36",2028-02-01,1888.89512888006,1945.00815281627,1831.64797354002,"RN","Região Nordeste"
"37",2028-03-01,1894.47075476638,1952.33634755928,1835.48481243149,"RN","Região Nordeste"
"38",2028-04-01,1900.43090657589,1960.07177153235,1839.68599153208,"RN","Região Nordeste"
"39",2028-05-01,1906.1987954238,1967.62003099182,1843.69269186363,"RN","Região Nordeste"
"40",2028-06-01,1912.15894723331,1975.37789380399,1847.87700077174,"RN","Região Nordeste"
"41",2028-07-01,1917.92683608122,1982.94829547349,1851.86717142504,"RN","Região Nordeste"
"42",2028-08-01,1923.88698789073,1990.72864967712,1856.03465551942,"RN","Região Nordeste"
"43",2028-09-01,1929.84713970024,1998.52035023848,1860.19366494151,"RN","Região Nordeste"
"44",2028-10-01,1935.61502854815,2006.12414389832,1864.15904583096,"RN","Região Nordeste"
"45",2028-11-01,1941.57518035766,2013.93841502076,1868.3012984445,"RN","Região Nordeste"
"46",2028-12-01,1947.34306920557,2021.5644814369,1872.25026155183,"RN","Região Nordeste"
"47",2029-01-01,1953.30322101508,2029.40137595249,1876.37580247125,"RN","Região Nordeste"
"48",2029-02-01,1959.26337282459,2037.24968326139,1880.49292551726,"RN","Região Nordeste"
"49",2029-03-01,1964.64673574931,2044.50918152329,1884.04851552853,"RN","Região Nordeste"
"50",2029-04-01,1970.60688755882,2052.37986628849,1888.14930959582,"RN","Região Nordeste"
"51",2029-05-01,1976.37477640673,2060.06159957179,1892.05765892779,"RN","Região Nordeste"
"52",2029-06-01,1982.33492821624,2067.95503990424,1896.14185322338,"RN","Região Nordeste"
"53",2029-07-01,1988.10281706415,2075.65922929569,1900.03393973857,"RN","Região Nordeste"
"54",2029-08-01,1994.06296887366,2083.57547842046,1904.10157901022,"RN","Região Nordeste"
"55",2029-09-01,2000.02312068317,2091.50323364954,1908.16087907714,"RN","Região Nordeste"
"56",2029-10-01,2005.79100953108,2099.24128792601,1912.02857575784,"RN","Região Nordeste"
"57",2029-11-01,2011.75116134059,2107.19193212993,1916.07138786074,"RN","Região Nordeste"
"58",2029-12-01,2017.5190501885,2114.95257473521,1919.92293206008,"RN","Região Nordeste"
"59",2030-01-01,2023.47920199801,2122.9261614221,1923.94930068583,"RN","Região Nordeste"
"60",2030-02-01,2029.43935380752,2130.9113214979,1927.96738611714,"RN","Região Nordeste"
"61",2030-03-01,2034.82271673224,2138.30194750798,1931.42971836509,"RN","Região Nordeste"
"62",2030-04-01,2040.78286854175,2146.30980195584,1935.43173887844,"RN","Região Nordeste"
"63",2030-05-01,2046.55075738966,2154.12690090476,1939.24332742886,"RN","Região Nordeste"
"64",2030-06-01,2052.51090919917,2162.15783170198,1943.22901482865,"RN","Região Nordeste"
"65",2030-07-01,2058.27879804708,2169.99770468417,1947.0246036983,"RN","Região Nordeste"
"66",2030-08-01,2064.23894985659,2178.05176573667,1950.99400210948,"RN","Região Nordeste"
"67",2030-09-01,2070.1991016661,2186.11749468198,1954.95519490104,"RN","Região Nordeste"
"68",2030-10-01,2075.96699051401,2193.99171150732,1958.72678828431,"RN","Região Nordeste"
"69",2030-11-01,2081.92714232352,2202.08065191556,1962.67175821411,"RN","Região Nordeste"
"70",2030-12-01,2087.69503117143,2209.97777668949,1966.42746071153,"RN","Região Nordeste"
"71",2031-01-01,2093.65518298094,2218.08998275309,1970.356251647,"RN","Região Nordeste"
