"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,776.841231726993,777.473192158106,776.177403083883,"RO","Região Norte"
"2",2025-04-01,778.838074978323,780.105760126335,777.507573710332,"RO","Região Norte"
"3",2025-05-01,780.770503931223,782.677525135681,778.770654933112,"RO","Região Norte"
"4",2025-06-01,782.767347182552,785.317582305492,780.095204155307,"RO","Região Norte"
"5",2025-07-01,784.699776135452,787.896740156429,781.352781445554,"RO","Região Norte"
"6",2025-08-01,786.696619386781,790.544303933181,782.671724587866,"RO","Região Norte"
"7",2025-09-01,788.693462638111,793.19565388058,783.987843044699,"RO","Região Norte"
"8",2025-10-01,790.625891591011,795.785959704338,785.237165415235,"RO","Região Norte"
"9",2025-11-01,792.62273484234,798.444842478629,786.547700758134,"RO","Região Norte"
"10",2025-12-01,794.55516379524,801.042584387371,787.79155697317,"RO","Região Norte"
"11",2026-01-01,796.55200704657,803.709017486168,789.096524436692,"RO","Região Norte"
"12",2026-02-01,798.548850297899,806.379258756315,790.398686398154,"RO","Região Norte"
"13",2026-03-01,800.352450653939,808.858016088467,791.506939528404,"RO","Região Norte"
"14",2026-04-01,802.349293905268,811.535728126136,792.803665312187,"RO","Região Norte"
"15",2026-05-01,804.281722858168,814.152056708076,794.034003399773,"RO","Região Norte"
"16",2026-06-01,806.278566109498,816.837362847044,795.325199094816,"RO","Região Norte"
"17",2026-07-01,808.210995062397,819.461188250999,796.550123337436,"RO","Região Norte"
"18",2026-08-01,810.207838313727,822.154106118509,797.835804053722,"RO","Região Norte"
"19",2026-09-01,812.204681565057,824.850863058985,799.118705834298,"RO","Região Norte"
"20",2026-10-01,814.137110517956,827.485993078223,800.335510169969,"RO","Região Norte"
"21",2026-11-01,816.133953769286,830.190388301269,801.612919616549,"RO","Região Norte"
"22",2026-12-01,818.066382722185,832.833058938239,802.824347354077,"RO","Região Norte"
"23",2027-01-01,820.063225973515,835.545110164466,804.096279487996,"RO","Região Norte"
"24",2027-02-01,822.060069224845,838.261022744369,805.365451601665,"RO","Região Norte"
"25",2027-03-01,823.863669580884,840.783589586578,806.442710793828,"RO","Região Norte"
"26",2027-04-01,825.860512832214,843.507077909844,807.706535865937,"RO","Região Norte"
"27",2027-05-01,827.792941785113,846.16859674249,808.904667614255,"RO","Região Norte"
"28",2027-06-01,829.789785036443,848.899785403909,810.163052634729,"RO","Região Norte"
"29",2027-07-01,831.722213989343,851.568906367369,811.355859360069,"RO","Região Norte"
"30",2027-08-01,833.719057240673,854.307813218744,812.608819227285,"RO","Região Norte"
"31",2027-09-01,835.715900492002,857.050612718848,813.859045268932,"RO","Região Norte"
"32",2027-10-01,837.648329444902,859.731196940144,815.043865204035,"RO","Região Norte"
"33",2027-11-01,839.645172696231,862.481741522342,816.288688420163,"RO","Região Norte"
"34",2027-12-01,841.577601649131,865.169972229162,817.468220055788,"RO","Região Norte"
"35",2028-01-01,843.574444900461,867.928279839752,818.707655257272,"RO","Região Norte"
"36",2028-02-01,845.57128815179,870.690502663165,819.944375284159,"RO","Região Norte"
"37",2028-03-01,847.43930280626,873.323881646822,821.053566461753,"RO","Região Norte"
"38",2028-04-01,849.436146057589,876.09384053144,822.284974000314,"RO","Região Norte"
"39",2028-05-01,851.368575010489,878.801238343645,823.451375374632,"RO","Região Norte"
"40",2028-06-01,853.365418261819,881.57900524444,824.677431727943,"RO","Região Norte"
"41",2028-07-01,855.297847214718,884.294111928651,825.838595743167,"RO","Região Norte"
"42",2028-08-01,857.294690466048,887.079704924838,827.059315600587,"RO","Região Norte"
"43",2028-09-01,859.291533717378,889.869244871157,828.277346156664,"RO","Região Norte"
"44",2028-10-01,861.223962670277,892.595975612231,829.430654763198,"RO","Região Norte"
"45",2028-11-01,863.220805921607,895.393368888482,830.64337083798,"RO","Região Norte"
"46",2028-12-01,865.153234874506,898.127853422376,831.79147829201,"RO","Região Norte"
"47",2029-01-01,867.150078125836,900.933118203412,832.998894488491,"RO","Região Norte"
"48",2029-02-01,869.146921377166,903.74235278565,834.203639773343,"RO","Região Norte"
"49",2029-03-01,870.950521733205,906.354463596176,835.220402585205,"RO","Região Norte"
"50",2029-04-01,872.947364984535,909.17148799947,836.419975447713,"RO","Região Norte"
"51",2029-05-01,874.879793937435,911.925354060927,837.555222076886,"RO","Região Norte"
"52",2029-06-01,876.876637188764,914.750295440985,838.74953128305,"RO","Região Norte"
"53",2029-07-01,878.809066141664,917.511978389202,839.879626892174,"RO","Região Norte"
"54",2029-08-01,880.805909392993,920.344855055252,841.068686925201,"RO","Região Norte"
"55",2029-09-01,882.802752644323,923.181733618975,842.255101512083,"RO","Região Norte"
"56",2029-10-01,884.735181597223,925.955203340855,843.37747110935,"RO","Região Norte"
"57",2029-11-01,886.732024848552,928.800044771423,844.558658228847,"RO","Região Norte"
"58",2029-12-01,888.664453801452,931.581376873459,845.675912502856,"RO","Região Norte"
"59",2030-01-01,890.661297052782,934.434199576889,846.851886552932,"RO","Região Norte"
"60",2030-02-01,892.658140304111,937.291047319319,848.025233288906,"RO","Região Norte"
"61",2030-03-01,894.461740660151,939.948854658212,849.012532465704,"RO","Região Norte"
"62",2030-04-01,896.45858391148,942.813601268382,850.18079220357,"RO","Região Norte"
"63",2030-05-01,898.39101286438,945.614586569361,851.285398531454,"RO","Região Norte"
"64",2030-06-01,900.38785611571,948.487360503004,852.448480912618,"RO","Região Norte"
"65",2030-07-01,902.320285068609,951.296272082602,853.548021342666,"RO","Região Norte"
"66",2030-08-01,904.317128319939,954.177091881731,854.705940646865,"RO","Região Norte"
"67",2030-09-01,906.313971571269,957.061969224168,855.861257745063,"RO","Região Norte"
"68",2030-10-01,908.246400524168,959.882832367671,856.953199737056,"RO","Região Norte"
"69",2030-11-01,910.243243775498,962.775783506935,858.103375159204,"RO","Região Norte"
"70",2030-12-01,912.175672728398,965.604619001943,859.190286446988,"RO","Região Norte"
"71",2031-01-01,914.172515979727,968.505662578,860.335334388689,"RO","Região Norte"
