"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,694.854023482107,695.419287309908,694.260254788158,"RO","Região Norte"
"2",2025-04-01,698.555639434222,699.692651911681,697.362285906847,"RO","Região Norte"
"3",2025-05-01,702.13784842014,703.852810446303,700.339407436998,"RO","Região Norte"
"4",2025-06-01,705.839464372256,708.139070506414,703.429931054514,"RO","Região Norte"
"5",2025-07-01,709.421673358175,712.311945070239,706.395763773592,"RO","Região Norte"
"6",2025-08-01,713.12328931029,716.611131246226,709.474810154034,"RO","Região Norte"
"7",2025-09-01,716.824905262406,720.916840803574,712.548078486176,"RO","Região Norte"
"8",2025-10-01,720.407114248324,725.108895227652,715.496983281132,"RO","Região Norte"
"9",2025-11-01,724.108730200439,729.427577089737,718.558819728197,"RO","Região Norte"
"10",2025-12-01,727.690939186358,733.632423678178,721.496510372719,"RO","Região Norte"
"11",2026-01-01,731.392555138473,737.964108667011,724.546945024393,"RO","Região Norte"
"12",2026-02-01,735.094171090589,742.302355803262,727.591639499816,"RO","Região Norte"
"13",2026-03-01,738.437566144113,746.285145086391,730.276339547626,"RO","Região Norte"
"14",2026-04-01,742.139182096229,750.636245446122,733.309879134942,"RO","Região Norte"
"15",2026-05-01,745.721391082147,754.873058812257,736.219815461634,"RO","Região Norte"
"16",2026-06-01,749.423007034262,759.237239402981,739.242027915715,"RO","Região Norte"
"17",2026-07-01,753.005216020181,763.486951858973,742.140853513506,"RO","Região Norte"
"18",2026-08-01,756.706831972296,767.864243733782,745.151768682084,"RO","Região Norte"
"19",2026-09-01,760.408447924412,772.248152201219,748.156996140326,"RO","Região Norte"
"20",2026-10-01,763.99065691033,776.517320324247,751.039160681931,"RO","Região Norte"
"21",2026-11-01,767.692272862446,780.914386860231,754.033135582907,"RO","Região Norte"
"22",2026-12-01,771.274481848364,785.196531192649,756.904263026104,"RO","Região Norte"
"23",2027-01-01,774.97609780048,789.60678701674,759.88701504537,"RO","Região Norte"
"24",2027-02-01,778.677713752596,794.023698698794,762.864116706032,"RO","Região Norte"
"25",2027-03-01,782.021108806119,798.08169636728,765.484929326267,"RO","Região Norte"
"26",2027-04-01,785.722724758235,802.511646107518,768.451052332313,"RO","Região Norte"
"27",2027-05-01,789.304933744153,806.826217614199,771.294864751755,"RO","Região Norte"
"28",2027-06-01,793.006549696269,811.269434741826,774.249838509457,"RO","Região Norte"
"29",2027-07-01,796.588758682187,815.597090766439,777.082715823,"RO","Região Norte"
"30",2027-08-01,800.290374634303,820.053606734907,780.026569769067,"RO","Região Norte"
"31",2027-09-01,803.991990586418,824.516833708048,782.964825100623,"RO","Região Norte"
"32",2027-10-01,807.574199572337,828.864224771276,785.781304541821,"RO","Região Norte"
"33",2027-11-01,811.275815524452,833.340797972563,788.708484174229,"RO","Região Norte"
