"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,538.390229278248,538.828209791518,537.930162483684,"RR","Região Norte"
"2",2025-04-01,541.886510141071,542.768518228353,540.960796938272,"RR","Região Norte"
"3",2025-05-01,545.270007750255,546.601822235689,543.873364724925,"RR","Região Norte"
"4",2025-06-01,548.766288613079,550.554154533321,546.892958028988,"RR","Região Norte"
"5",2025-07-01,552.149786222263,554.399312798447,549.794691371063,"RR","Região Norte"
"6",2025-08-01,555.646067085086,558.363697659446,552.803272403711,"RR","Região Norte"
"7",2025-09-01,559.142347947909,562.334165683794,555.80631016815,"RR","Região Norte"
"8",2025-10-01,562.525845557093,566.197204804816,558.691797392539,"RR","Região Norte"
"9",2025-11-01,566.022126419917,570.17976863692,561.683866161586,"RR","Região Norte"
"10",2025-12-01,569.405624029101,574.054733290385,564.558590193448,"RR","Região Norte"
"11",2026-01-01,572.901904891924,578.049421787124,567.539718680223,"RR","Região Norte"
"12",2026-02-01,576.398185754747,582.050229743623,570.515340035711,"RR","Região Norte"
"13",2026-03-01,579.556116856652,585.715218975822,573.150851182337,"RR","Região Norte"
"14",2026-04-01,583.052397719476,589.728009625232,576.115765904364,"RR","Região Norte"
"15",2026-05-01,586.43589532866,593.632774113737,578.963848700142,"RR","Região Norte"
"16",2026-06-01,589.932176191483,597.657761614646,581.91789438963,"RR","Região Norte"
"17",2026-07-01,593.315673800667,601.574551733363,584.755312698348,"RR","Região Norte"
"18",2026-08-01,596.81195466349,605.611765159454,587.698517838138,"RR","Região Norte"
"19",2026-09-01,600.308235526314,609.655149021244,590.636265911543,"RR","Região Norte"
"20",2026-10-01,603.691733135498,613.590078198165,593.457692792073,"RR","Região Norte"
"21",2026-11-01,607.188013998321,617.645731788341,596.384642998155,"RR","Região Norte"
"22",2026-12-01,610.571511607505,621.592758793647,599.195475663192,"RR","Região Norte"
"23",2027-01-01,614.067792470328,625.660711342081,602.11165632093,"RR","Região Norte"
"24",2027-02-01,617.564073333152,629.734871091073,605.022415554016,"RR","Região Norte"
"25",2027-03-01,620.722004435057,633.469946902477,607.59656529173,"RR","Região Norte"
"26",2027-04-01,624.21828529788,637.556262381177,610.496786089297,"RR","Região Norte"
"27",2027-05-01,627.601782907064,641.533520218649,613.281396796856,"RR","Região Norte"
"28",2027-06-01,631.098063769887,645.632207776035,616.170918316648,"RR","Região Norte"
"29",2027-07-01,634.481561379071,649.621664837197,618.945032154006,"RR","Região Norte"
"30",2027-08-01,637.977842241895,653.732753922584,621.823882487672,"RR","Região Norte"
"31",2027-09-01,641.474123104718,657.850101842649,624.697360774611,"RR","Região Norte"
"32",2027-10-01,644.857620713902,661.857959508774,627.455734366755,"RR","Região Norte"
"33",2027-11-01,648.353901576726,665.98775332566,630.318583563908,"RR","Região Norte"
"34",2027-12-01,651.737399185909,670.007883348426,633.066529589528,"RR","Região Norte"
"35",2028-01-01,655.233680048733,674.150152669539,635.918777626782,"RR","Região Norte"
"36",2028-02-01,658.729960911556,678.298718064338,638.765688770201,"RR","Região Norte"
"37",2028-03-01,662.000675267101,682.221130720031,641.388726753926,"RR","Região Norte"
"38",2028-04-01,665.496956129924,686.382121674299,644.225171966584,"RR","Região Norte"
"39",2028-05-01,668.880453739108,690.433013742074,646.947216234626,"RR","Região Norte"
"40",2028-06-01,672.376734601931,694.606554419826,649.773129750869,"RR","Região Norte"
"41",2028-07-01,675.760232211115,698.669821706928,652.484842614369,"RR","Região Norte"
"42",2028-08-01,679.256513073939,702.855941937934,655.300252139403,"RR","Região Norte"
"43",2028-09-01,682.752793936762,707.0484106201,658.110373549876,"RR","Região Norte"
"44",2028-10-01,686.136291545946,711.130343675641,660.80659412821,"RR","Região Norte"
"45",2028-11-01,689.632572408769,715.335436852753,663.606253064885,"RR","Região Norte"
"46",2028-12-01,693.016070017953,719.429819207368,666.292210586219,"RR","Região Norte"
"47",2029-01-01,696.512350880777,723.64756686921,669.081434594615,"RR","Região Norte"
"48",2029-02-01,700.0086317436,727.871700701447,671.865405158427,"RR","Região Norte"
"49",2029-03-01,703.166562845505,731.75012470092,674.319660014145,"RR","Região Norte"
"50",2029-04-01,706.662843708329,735.986767242971,677.093421772116,"RR","Região Norte"
"51",2029-05-01,710.046341317512,740.112259641401,679.753979013028,"RR","Região Norte"
"52",2029-06-01,713.542622180336,744.361631690603,682.517374191827,"RR","Região Norte"
"53",2029-07-01,716.92611978952,748.49967742702,685.167763051971,"RR","Região Norte"
