"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,352.188751128202,352.475256717641,351.88779776575,"RR","Região Norte"
"2",2025-04-01,354.780257474774,355.357719822414,354.174180810582,"RR","Região Norte"
"3",2025-05-01,357.288166842424,358.160838269994,356.373016514768,"RR","Região Norte"
"4",2025-06-01,359.879673188995,361.052151558082,358.651147289415,"RR","Região Norte"
"5",2025-07-01,362.387582556645,363.863994425638,360.841883996012,"RR","Região Norte"
"6",2025-08-01,364.979088903217,366.764179070792,363.111784022989,"RR","Região Norte"
"7",2025-09-01,367.570595249788,369.668841518227,365.37754119659,"RR","Região Norte"
"8",2025-10-01,370.078504617438,372.493844554335,367.556133738702,"RR","Região Norte"
"9",2025-11-01,372.67001096401,375.407410260386,369.813692416424,"RR","Região Norte"
"10",2025-12-01,375.177920331659,378.24119029324,371.984239065623,"RR","Região Norte"
"11",2026-01-01,377.769426678231,381.163680545624,374.233620646449,"RR","Região Norte"
"12",2026-02-01,380.360933024803,384.090675376942,376.478886304611,"RR","Região Norte"
"13",2026-03-01,382.701648434609,386.768724021124,378.47202224152,"RR","Região Norte"
"14",2026-04-01,385.293154781181,389.704538014187,380.70928416157,"RR","Região Norte"
"15",2026-05-01,387.801064148831,392.560249719896,382.859914302802,"RR","Região Norte"
"16",2026-06-01,390.392570495402,395.505041510971,385.089052227423,"RR","Região Norte"
"17",2026-07-01,392.900479863052,398.369604051362,387.231710043847,"RR","Região Norte"
"18",2026-08-01,395.491986209623,401.323395088287,389.452745200642,"RR","Região Norte"
"19",2026-09-01,398.083492556195,404.281728309899,391.669701746262,"RR","Região Norte"
"20",2026-10-01,400.591401923845,407.159641486751,393.800405222226,"RR","Região Norte"
"21",2026-11-01,403.182908270416,410.127006268476,396.009290810004,"RR","Região Norte"
"22",2026-12-01,405.690817638066,413.013823538825,398.132074336111,"RR","Região Norte"
"23",2027-01-01,408.282323984638,415.990241443854,400.332910071696,"RR","Região Norte"
"24",2027-02-01,410.873830331209,418.971228656202,402.529693758296,"RR","Região Norte"
"25",2027-03-01,413.214545741016,421.700849139591,404.476942861612,"RR","Região Norte"
"26",2027-04-01,415.806052087587,424.690783157575,406.665848173309,"RR","Região Norte"
"27",2027-05-01,418.313961455237,427.599850028989,408.769027698704,"RR","Região Norte"
"28",2027-06-01,420.905467801809,430.598891111434,410.949935530944,"RR","Região Norte"
"29",2027-07-01,423.413377169458,433.516936872543,413.04526766226,"RR","Região Norte"
"30",2027-08-01,426.00488351603,436.525106744712,415.218198951504,"RR","Região Norte"
"31",2027-09-01,428.596389862602,439.537884016058,417.387114991988,"RR","Região Norte"
"32",2027-10-01,431.104299230251,442.46947335152,419.470679997116,"RR","Região Norte"
"33",2027-11-01,433.695805576823,445.491412144591,421.631650868443,"RR","Região Norte"
"34",2027-12-01,436.203714944473,448.432034318931,423.707420134081,"RR","Região Norte"
"35",2028-01-01,438.795221291044,451.463156475749,425.860466652326,"RR","Região Norte"
"36",2028-02-01,441.386727637616,454.498913504567,428.009524120191,"RR","Região Norte"
"37",2028-03-01,443.811040026344,457.367010132795,429.992609549803,"RR","Região Norte"
"38",2028-04-01,446.402546372916,460.411913349808,432.133843069401,"RR","Região Norte"
"39",2028-05-01,448.910455740565,463.375177320068,434.190247385003,"RR","Região Norte"
"40",2028-06-01,451.501962087137,466.429318653936,436.323608323099,"RR","Região Norte"
"41",2028-07-01,454.009871454787,469.401691343393,438.372288573796,"RR","Região Norte"
"42",2028-08-01,456.601377801358,472.465092800367,440.497797579247,"RR","Região Norte"
"43",2028-09-01,459.19288414793,475.53316777042,442.619353888765,"RR","Região Norte"
"44",2028-10-01,461.70079351558,478.519279643823,444.656451828116,"RR","Região Norte"
"45",2028-11-01,464.292299862151,481.596647892089,446.770187147968,"RR","Região Norte"
"46",2028-12-01,466.800209229801,484.591923133121,448.799611965385,"RR","Região Norte"
"47",2029-01-01,469.391715576373,487.67860678403,450.90554682558,"RR","Região Norte"
"48",2029-02-01,471.983221922944,490.769991775524,453.007554828823,"RR","Região Norte"
"49",2029-03-01,474.323937332751,493.605098182308,454.865138729677,"RR","Região Norte"
"50",2029-04-01,476.915443679322,496.705690368329,456.95951404809,"RR","Região Norte"
"51",2029-05-01,479.423353046972,499.723863783397,458.969947314634,"RR","Região Norte"
"52",2029-06-01,482.014859393544,502.833826717944,461.056573116075,"RR","Região Norte"
"53",2029-07-01,484.522768761194,505.861240249238,463.05940382995,"RR","Região Norte"
"54",2029-08-01,487.114275107765,508.980596222787,465.138300479559,"RR","Região Norte"
"55",2029-09-01,489.705781454337,512.104692619137,467.213306069123,"RR","Região Norte"
"56",2029-10-01,492.213690821986,515.146043304644,469.2047365647,"RR","Região Norte"
"57",2029-11-01,494.805197168558,518.279566323075,471.272043520375,"RR","Região Norte"
"58",2029-12-01,497.313106536208,521.330212480544,473.255921704281,"RR","Região Norte"
"59",2030-01-01,499.904612882779,524.473184531147,475.315550273885,"RR","Região Norte"
"60",2030-02-01,502.496119229351,527.62092519082,477.371313267883,"RR","Região Norte"
"61",2030-03-01,504.836834639157,530.509895435144,479.18516799011,"RR","Região Norte"
"62",2030-04-01,507.428340985729,533.666975961084,481.233418551759,"RR","Região Norte"
"63",2030-05-01,509.936250353379,536.740850754073,483.198604941123,"RR","Região Norte"
"64",2030-06-01,512.52775669995,539.907436373052,485.239227358346,"RR","Região Norte"
"65",2030-07-01,515.0356660676,542.990684380362,487.196931031508,"RR","Região Norte"
"66",2030-08-01,517.627172414172,546.166797670537,489.229945389366,"RR","Região Norte"
"67",2030-09-01,520.218678760743,549.347719156066,491.259129476669,"RR","Região Norte"
"68",2030-10-01,522.726588128393,552.445104849297,493.205612514112,"RR","Região Norte"
"69",2030-11-01,525.318094474965,555.635588022277,495.227218640415,"RR","Região Norte"
"70",2030-12-01,527.826003842614,558.74240300149,497.166268509702,"RR","Região Norte"
"71",2031-01-01,530.417510189186,561.94247056115,499.180316644248,"RR","Região Norte"
