"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,4872.88306268418,4876.84715361459,4868.71907238678,"RS","Região Sul"
"2",2025-04-01,4877.24460820834,4885.18311397954,4868.91273494225,"RS","Região Sul"
"3",2025-05-01,4881.46545871558,4893.38837087957,4868.96217669126,"RS","Região Sul"
"4",2025-06-01,4885.82700423974,4901.74489820359,4869.14819334056,"RS","Região Sul"
"5",2025-07-01,4890.04785474698,4909.97051501519,4869.19024180896,"RS","Região Sul"
"6",2025-08-01,4894.40940027114,4918.34765416608,4869.36863811016,"RS","Região Sul"
"7",2025-09-01,4898.77094579529,4926.73517359204,4869.54317399525,"RS","Região Sul"
"8",2025-10-01,4902.99179630254,4934.99147136642,4869.57411985992,"RS","Região Sul"
"9",2025-11-01,4907.35334182669,4943.3996701863,4869.74107371433,"RS","Região Sul"
"10",2025-12-01,4911.57419233394,4951.67643948684,4869.76468906963,"RS","Região Sul"
"11",2026-01-01,4915.93573785809,4960.10536279784,4869.92408628902,"RS","Região Sul"
"12",2026-02-01,4920.29728338225,4968.5447230365,4870.07965514313,"RS","Região Sul"
"13",2026-03-01,4924.23674385568,4976.56796094104,4869.81398190005,"RS","Região Sul"
"14",2026-04-01,4928.59828937983,4985.02788223969,4869.96226998991,"RS","Região Sul"
"15",2026-05-01,4932.81913988708,4993.35585276783,4869.96784630686,"RS","Região Sul"
"16",2026-06-01,4937.18068541123,5001.8366114212,4870.10864066366,"RS","Região Sul"
"17",2026-07-01,4941.40153591848,5010.18521028218,4870.10697323139,"RS","Região Sul"
"18",2026-08-01,4945.76308144263,5018.68685170989,4870.24029902568,"RS","Região Sul"
"19",2026-09-01,4950.12462696679,5027.19900965756,4870.36984076203,"RS","Região Sul"
"20",2026-10-01,4954.34547747403,5035.57869370676,4870.35729491538,"RS","Região Sul"
"21",2026-11-01,4958.70702299819,5044.11180282648,4870.47940582601,"RS","Região Sul"
"22",2026-12-01,4962.92787350543,5052.51222819779,4870.45967804478,"RS","Região Sul"
"23",2027-01-01,4967.28941902959,5061.06633414129,4870.57438314004,"RS","Região Sul"
"24",2027-02-01,4971.65096455374,5069.63101395328,4870.68533574343,"RS","Região Sul"
"25",2027-03-01,4975.59042502717,5077.77552564629,4870.37938230725,"RS","Região Sul"
