"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,6295.29513770193,6300.41636101851,6289.91566367485,"RS","Região Sul"
"2",2025-04-01,6329.90593972358,6340.20888716014,6319.09246237875,"RS","Região Sul"
"3",2025-05-01,6363.40026426066,6378.9427817806,6347.10118587721,"RS","Região Sul"
"4",2025-06-01,6398.01106628231,6418.85561555601,6376.17009307291,"RS","Região Sul"
"5",2025-07-01,6431.50539081939,6457.70813989679,6404.07297010794,"RS","Região Sul"
"6",2025-08-01,6466.11619284104,6497.74156752462,6433.03426927305,"RS","Região Sul"
"7",2025-09-01,6500.72699486269,6537.83585595056,6461.94139593541,"RS","Região Sul"
"8",2025-10-01,6534.22131939976,6576.86731345873,6489.68555370241,"RS","Região Sul"
"9",2025-11-01,6568.83212142141,6617.08262695761,6518.48549713615,"RS","Região Sul"
"10",2025-12-01,6602.32644595849,6656.23342497414,6546.12450778454,"RS","Região Sul"
"11",2026-01-01,6636.93724798015,6696.57005130064,6574.81754983434,"RS","Região Sul"
"12",2026-02-01,6671.54805000179,6736.96790034905,6603.45677411773,"RS","Região Sul"
"13",2026-03-01,6702.80941956974,6774.04201724185,6628.72983719987,"RS","Região Sul"
"14",2026-04-01,6737.42022159139,6814.55977683763,6657.26446947774,"RS","Região Sul"
"15",2026-05-01,6770.91454612847,6854.00879673755,6684.64324246274,"RS","Região Sul"
"16",2026-06-01,6805.52534815011,6894.64858900479,6713.07167270925,"RS","Região Sul"
"17",2026-07-01,6839.0196726872,6934.21794765305,6740.34626733277,"RS","Região Sul"
"18",2026-08-01,6873.63047470884,6974.98006250459,6768.66877512728,"RS","Região Sul"
"19",2026-09-01,6908.24127673049,7015.8039083827,6796.93795659286,"RS","Região Sul"
"20",2026-10-01,6941.73560126757,7055.55477510034,6824.05633170432,"RS","Região Sul"
"21",2026-11-01,6976.34640328922,7096.50138034584,6852.22000967992,"RS","Região Sul"
"22",2026-12-01,7009.8407278263,7136.37330579322,6879.23489612985,"RS","Região Sul"
"23",2027-01-01,7044.45152984795,7177.4429618737,6907.29334858286,"RS","Região Sul"
"24",2027-02-01,7079.0623318696,7218.57471556752,6935.29882457182,"RS","Região Sul"
"25",2027-03-01,7110.32370143754,7256.35042003786,6959.97278691259,"RS","Região Sul"
"26",2027-04-01,7144.93450345919,7297.60380987548,6987.87532168946,"RS","Região Sul"
"27",2027-05-01,7178.42882799627,7337.77825539642,7014.63408540425,"RS","Região Sul"
"28",2027-06-01,7213.03963001792,7379.1554252059,7042.43208437899,"RS","Região Sul"
"29",2027-07-01,7246.533954555,7419.45194061328,7069.08831480992,"RS","Região Sul"
"30",2027-08-01,7281.14475657665,7460.9531840466,7096.78205371368,"RS","Região Sul"
"31",2027-09-01,7315.7555585983,7502.51703994951,7124.42330083281,"RS","Região Sul"
"32",2027-10-01,7349.24988313538,7542.99767162109,7150.92577701484,"RS","Região Sul"
