"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,3858.22350838789,3861.3621736545,3854.92656794268,"SC","Região Sul"
"2",2025-04-01,3868.6036840701,3874.9004633255,3861.99488787437,"SC","Região Sul"
"3",2025-05-01,3878.64901537547,3888.12256218561,3868.71432610588,"SC","Região Sul"
"4",2025-06-01,3889.02919105768,3901.69954435342,3875.7531617585,"SC","Região Sul"
"5",2025-07-01,3899.07452236304,3914.95983460882,3882.4437265877,"SC","Região Sul"
"6",2025-08-01,3909.45469804525,3928.57559936327,3889.45315807039,"SC","Região Sul"
"7",2025-09-01,3919.83487372746,3942.21092611845,3896.44777511623,"SC","Região Sul"
"8",2025-10-01,3929.88020503283,3955.52880793195,3903.09503577167,"SC","Região Sul"
"9",2025-11-01,3940.26038071504,3969.20305298911,3910.0603687027,"SC","Região Sul"
"10",2025-12-01,3950.3057120204,3982.559350017,3916.67895345091,"SC","Região Sul"
"11",2026-01-01,3960.68588770261,3996.27260394398,3923.61508190747,"SC","Região Sul"
"12",2026-02-01,3971.06606338482,4010.00553375042,3930.53649620653,"SC","Região Sul"
"13",2026-03-01,3980.4417059365,4022.74295379362,3936.44978541993,"SC","Região Sul"
"14",2026-04-01,3990.8218816187,4036.51447832337,3943.34268053702,"SC","Região Sul"
"15",2026-05-01,4000.86721292407,4049.96679328053,3949.89034297527,"SC","Região Sul"
"16",2026-06-01,4011.24738860628,4063.77755326721,3956.75423117795,"SC","Região Sul"
"17",2026-07-01,4021.29271991164,4077.26859779911,3963.27349119304,"SC","Região Sul"
"18",2026-08-01,4031.67289559385,4091.11868448215,3970.10845147142,"SC","Região Sul"
"19",2026-09-01,4042.05307127606,4104.98860699466,3976.92883646959,"SC","Região Sul"
"20",2026-10-01,4052.09840258143,4118.53805383905,3983.40549815459,"SC","Região Sul"
"21",2026-11-01,4062.47857826364,4132.44744049418,3990.19707360711,"SC","Região Sul"
"22",2026-12-01,4072.523909569,4146.035843594,3996.64552759642,"SC","Região Sul"
"23",2027-01-01,4082.90408525121,4159.98478611495,4003.40837203066,"SC","Região Sul"
"24",2027-02-01,4093.28426093342,4173.95367979489,4010.15674006539,"SC","Região Sul"
"25",2027-03-01,4102.6599034851,4186.91738435307,4015.90735966643,"SC","Região Sul"
"26",2027-04-01,4113.0400791673,4200.92541609305,4022.62767453191,"SC","Região Sul"
"27",2027-05-01,4123.08541047267,4214.61119069889,4029.0063675964,"SC","Região Sul"
