"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,4828.03154287845,4831.95914709235,4823.90587923303,"SC","Região Sul"
"2",2025-04-01,4855.0800479663,4862.98247732479,4846.78603876523,"SC","Região Sul"
"3",2025-05-01,4881.25602063197,4893.17842124632,4868.75327505791,"SC","Região Sul"
"4",2025-06-01,4908.30452571981,4924.29565084866,4891.54898301456,"SC","Região Sul"
"5",2025-07-01,4934.48049838548,4954.5841827439,4913.43336605821,"SC","Região Sul"
"6",2025-08-01,4961.52900347333,4985.79553519944,4936.14484420706,"SC","Região Sul"
"7",2025-09-01,4988.57750856118,5017.05438967579,4958.81391956296,"SC","Região Sul"
"8",2025-10-01,5014.75348122684,5047.48257574536,4980.57406257035,"SC","Região Sul"
"9",2025-11-01,5041.80198631469,5078.83588977825,5003.15924044546,"SC","Região Sul"
"10",2025-12-01,5067.97795898035,5109.35721880986,5024.83707731554,"SC","Região Sul"
"11",2026-01-01,5095.0264640682,5140.80521708217,5047.3385782005,"SC","Região Sul"
"12",2026-02-01,5122.07496915605,5172.30099997202,5069.79795380523,"SC","Região Sul"
"13",2026-03-01,5146.50587697733,5201.1992092212,5089.6265921632,"SC","Região Sul"
"14",2026-04-01,5173.55438206518,5232.78858016312,5112.00409590872,"SC","Região Sul"
"15",2026-05-01,5199.73035473085,5263.5426646119,5133.47822389139,"SC","Região Sul"
"16",2026-06-01,5226.77885981869,5295.22728185629,5155.77259776162,"SC","Região Sul"
"17",2026-07-01,5252.95483248436,5326.07528869875,5177.16517748976,"SC","Região Sul"
"18",2026-08-01,5280.00333757221,5357.855378614,5199.37664020361,"SC","Região Sul"
"19",2026-09-01,5307.05184266006,5389.68365003975,5221.54636209436,"SC","Região Sul"
"20",2026-10-01,5333.22781532572,5420.67332156071,5242.81665740041,"SC","Região Sul"
"21",2026-11-01,5360.27632041357,5452.59740670492,5264.90379589435,"SC","Região Sul"
"22",2026-12-01,5386.45229307923,5483.68156278769,5286.09308251425,"SC","Região Sul"
"23",2027-01-01,5413.50079816708,5515.70168923295,5308.09785506957,"SC","Região Sul"
"24",2027-02-01,5440.54930325493,5547.77028342713,5330.06116050456,"SC","Região Sul"
"25",2027-03-01,5464.98021107621,5577.21604743874,5349.4208065965,"SC","Região Sul"
"26",2027-04-01,5492.02871616406,5609.37957704448,5371.30353162962,"SC","Região Sul"
"27",2027-05-01,5518.20468882973,5640.69984459591,5392.29232858568,"SC","Região Sul"
"28",2027-06-01,5545.25319391758,5672.95998482342,5414.0932272617,"SC","Região Sul"
"29",2027-07-01,5571.42916658324,5704.37552645593,5435.00176295017,"SC","Região Sul"
"30",2027-08-01,5598.47767167109,5736.73250659378,5456.7210509783,"SC","Região Sul"
"31",2027-09-01,5625.52617675894,5769.13835649021,5478.39925105772,"SC","Região Sul"
"32",2027-10-01,5651.7021494246,5800.69759930632,5499.18743096112,"SC","Região Sul"
"33",2027-11-01,5678.75065451245,5833.20063455779,5520.7843436434,"SC","Região Sul"
"34",2027-12-01,5704.92662717811,5864.85572089036,5541.49279440127,"SC","Região Sul"
"35",2028-01-01,5731.97513226596,5897.45617201439,5563.00863415107,"SC","Região Sul"
"36",2028-02-01,5759.02363735381,5930.10578282137,5584.48365589385,"SC","Região Sul"
"37",2028-03-01,5784.32707759728,5961.0062448059,5604.22718289749,"SC","Região Sul"
"38",2028-04-01,5811.37558268513,5993.75288729481,5625.62217547819,"SC","Região Sul"
"39",2028-05-01,5837.5515553508,6025.64821666567,5646.13258953645,"SC","Região Sul"
"40",2028-06-01,5864.60006043865,6058.49285288446,5667.44704256371,"SC","Região Sul"
"41",2028-07-01,5890.77603310431,6090.48482669314,5687.87846579845,"SC","Região Sul"
"42",2028-08-01,5917.82453819216,6123.427688888,5709.11259200829,"SC","Região Sul"
"43",2028-09-01,5944.87304328001,6156.42011855132,5730.30627478028,"SC","Região Sul"
"44",2028-10-01,5971.04901594567,6188.55785815726,5750.61924608231,"SC","Região Sul"
"45",2028-11-01,5998.09752103352,6221.64886369478,5771.73292083356,"SC","Região Sul"
"46",2028-12-01,6024.27349369918,6253.88382453449,5791.96742607831,"SC","Região Sul"
"47",2029-01-01,6051.32199878703,6287.07363943634,5813.00130431632,"SC","Região Sul"
"48",2029-02-01,6078.37050387488,6320.31331546416,5833.99500534268,"SC","Região Sul"
"49",2029-03-01,6102.80141169617,6350.87890977376,5852.43837024284,"SC","Região Sul"
"50",2029-04-01,6129.84991678402,6384.21626961974,5873.35402173473,"SC","Região Sul"
"51",2029-05-01,6156.02588944968,6416.69418787159,5893.39434591835,"SC","Região Sul"
"52",2029-06-01,6183.07439453753,6450.13094118875,5914.23072569578,"SC","Região Sul"
"53",2029-07-01,6209.25036720319,6482.70689074584,5934.1933107072,"SC","Região Sul"
"54",2029-08-01,6236.29887229104,6516.24327277201,5954.95062857336,"SC","Região Sul"
"55",2029-09-01,6263.34737737889,6549.82992835788,5975.66813802754,"SC","Região Sul"
"56",2029-10-01,6289.52335004455,6582.55373319025,5995.51414680674,"SC","Região Sul"
