"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1247.53169726839,1248.54656444721,1246.46565283098,"SE","Região Nordeste"
"2",2025-04-01,1251.69540384038,1253.7327408996,1249.55711299989,"SE","Região Nordeste"
"3",2025-05-01,1255.72479729714,1258.79188782292,1252.50841045218,"SE","Região Nordeste"
"4",2025-06-01,1259.88850386913,1263.9931869849,1255.58760617222,"SE","Região Nordeste"
"5",2025-07-01,1263.9178973259,1269.06725529197,1258.52688458514,"SE","Região Nordeste"
"6",2025-08-01,1268.08160389789,1274.28371265322,1261.59384873745,"SE","Região Nordeste"
"7",2025-09-01,1272.24531046988,1279.50781734537,1264.65465231918,"SE","Região Nordeste"
"8",2025-10-01,1276.27470392664,1284.60438864051,1267.57590595193,"SE","Região Nordeste"
"9",2025-11-01,1280.43841049863,1289.84370499734,1270.62452724173,"SE","Região Nordeste"
"10",2025-12-01,1284.46780395539,1294.95528583331,1273.53384291981,"SE","Região Nordeste"
"11",2026-01-01,1288.63151052738,1300.20984953357,1276.57031460761,"SE","Região Nordeste"
"12",2026-02-01,1292.79521709937,1305.4721054315,1279.60066687964,"SE","Região Nordeste"
"13",2026-03-01,1296.55598432569,1310.33484107211,1282.22642192495,"SE","Região Nordeste"
"14",2026-04-01,1300.71969089768,1315.61217721378,1285.24490059459,"SE","Região Nordeste"
"15",2026-05-01,1304.74908435444,1320.76127098871,1288.12468248124,"SE","Região Nordeste"
"16",2026-06-01,1308.91279092643,1326.05394373328,1291.1310926501,"SE","Região Nordeste"
"17",2026-07-01,1312.9421843832,1331.21817086447,1293.99904888032,"SE","Região Nordeste"
"18",2026-08-01,1317.10589095519,1336.52621615638,1296.99342297306,"SE","Região Nordeste"
"19",2026-09-01,1321.26959752717,1341.84201666239,1299.98173465286,"SE","Região Nordeste"
"20",2026-10-01,1325.29899098394,1347.02906612648,1302.83195591227,"SE","Região Nordeste"
"21",2026-11-01,1329.46269755593,1352.36029333001,1305.80828010786,"SE","Região Nordeste"
"22",2026-12-01,1333.49209101269,1357.56256543939,1308.64675566634,"SE","Região Nordeste"
"23",2027-01-01,1337.65579758468,1362.90925547627,1311.61112461362,"SE","Região Nordeste"
"24",2027-02-01,1341.81950415667,1368.263746168,1314.56947173223,"SE","Região Nordeste"
"25",2027-03-01,1345.58027138299,1373.21483204351,1317.12738613273,"SE","Região Nordeste"
"26",2027-04-01,1349.74397795498,1378.58461699151,1320.07405100553,"SE","Região Nordeste"
"27",2027-05-01,1353.77337141174,1383.82493516378,1322.88346970602,"SE","Região Nordeste"
"28",2027-06-01,1357.93707798373,1389.21027334866,1325.81825930391,"SE","Região Nordeste"
"29",2027-07-01,1361.96647144049,1394.46593957206,1328.61604303545,"SE","Região Nordeste"
"30",2027-08-01,1366.13017801248,1399.86686739856,1331.53898933249,"SE","Região Nordeste"
