"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1124.5796900777,1125.49453578456,1123.61871094934,"SE","Região Nordeste"
"2",2025-04-01,1128.46526213571,1130.30202217457,1126.53748727417,"SE","Região Nordeste"
"3",2025-05-01,1132.2254931596,1134.99093833563,1129.32543481118,"SE","Região Nordeste"
"4",2025-06-01,1136.11106521762,1139.81248474222,1132.23270816552,"SE","Região Nordeste"
"5",2025-07-01,1139.87129624151,1144.51527299982,1135.00938179764,"SE","Região Nordeste"
"6",2025-08-01,1143.75686829952,1149.3509124565,1137.90518296493,"SE","Região Nordeste"
"7",2025-09-01,1147.64244035754,1154.19366207958,1140.79520628067,"SE","Região Nordeste"
"8",2025-10-01,1151.40267138143,1158.91737115712,1143.55497276679,"SE","Região Nordeste"
"9",2025-11-01,1155.28824343944,1163.77426359578,1146.43357002741,"SE","Região Nordeste"
"10",2025-12-01,1159.04847446333,1168.51192682401,1149.18213852317,"SE","Região Nordeste"
"11",2026-01-01,1162.93404652135,1173.38299528789,1152.04934033321,"SE","Região Nordeste"
"12",2026-02-01,1166.81961857936,1178.26121568061,1154.91080282024,"SE","Região Nordeste"
"13",2026-03-01,1170.32916753499,1182.76657721153,1157.39466641175,"SE","Região Nordeste"
"14",2026-04-01,1174.21473959301,1187.65881756302,1160.24499115823,"SE","Região Nordeste"
"15",2026-05-01,1177.9749706169,1192.43135560785,1162.96585542155,"SE","Região Nordeste"
"16",2026-06-01,1181.86054267491,1197.33785506639,1165.80486064611,"SE","Região Nordeste"
"17",2026-07-01,1185.6207736988,1202.12446250534,1168.51463205879,"SE","Região Nordeste"
"18",2026-08-01,1189.50634575682,1207.04525452802,1171.34234811786,"SE","Região Nordeste"
"19",2026-09-01,1193.39191781483,1211.9732571356,1174.16437822011,"SE","Região Nordeste"
"20",2026-10-01,1197.15214883872,1216.78108263275,1176.85751381896,"SE","Região Nordeste"
"21",2026-11-01,1201.03772089674,1221.72342820772,1179.66830024793,"SE","Região Nordeste"
"22",2026-12-01,1204.79795192062,1226.54540620737,1182.35041785439,"SE","Região Nordeste"
