"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,15127.9013048325,15140.2078542792,15114.9741663309,"SP","Região Sudeste"
"2",2025-04-01,15162.2303545921,15186.9093409549,15136.3284792723,"SP","Região Sudeste"
"3",2025-05-01,15195.4520156496,15232.5666979529,15156.530707357,"SP","Região Sudeste"
"4",2025-06-01,15229.7810654092,15279.3992855961,15177.7909646124,"SP","Região Sudeste"
"5",2025-07-01,15263.0027264667,15325.1860888845,15197.9011543356,"SP","Região Sudeste"
"6",2025-08-01,15297.3317762262,15372.1500805459,15219.0676149395,"SP","Região Sudeste"
"7",2025-09-01,15331.6608259858,15419.1803406935,15240.1868034409,"SP","Região Sudeste"
"8",2025-10-01,15364.8824870433,15465.1623299244,15260.1589441816,"SP","Região Sudeste"
"9",2025-11-01,15399.2115368028,15512.3244506017,15281.1847242429,"SP","Região Sudeste"
"10",2025-12-01,15432.4331978604,15558.4366391272,15301.065465053,"SP","Região Sudeste"
"11",2026-01-01,15466.7622476199,15605.7309249866,15321.9980941834,"SP","Região Sudeste"
"12",2026-02-01,15501.0912973794,15653.0918623598,15342.8837755085,"SP","Região Sudeste"
"13",2026-03-01,15532.0981810332,15697.1620567124,15360.4371245187,"SP","Região Sudeste"
"14",2026-04-01,15566.4272307927,15744.6537973216,15381.2319125004,"SP","Região Sudeste"
"15",2026-05-01,15599.6488918503,15791.0914400618,15400.8866659414,"SP","Região Sudeste"
"16",2026-06-01,15633.9779416098,15838.7161080741,15421.5889417134,"SP","Região Sudeste"
"17",2026-07-01,15667.1996026674,15885.2850077549,15441.1531791812,"SP","Região Sudeste"
"18",2026-08-01,15701.5286524269,15933.0429100731,15461.7631981373,"SP","Região Sudeste"
"19",2026-09-01,15735.8577021864,15980.8680019067,15482.3267183503,"SP","Região Sudeste"
"20",2026-10-01,15769.079363244,16027.6348151255,15501.7551884637,"SP","Região Sudeste"
"21",2026-11-01,15803.4084130035,16075.5936035762,15522.226834618,"SP","Região Sudeste"
"22",2026-12-01,15836.6300740611,16122.4924363292,15541.5654181865,"SP","Região Sudeste"
"23",2027-01-01,15870.9591238206,16170.5852299207,15561.9454441704,"SP","Região Sudeste"
