"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,18842.036543119,18857.364542008,18825.9355909025,"SP","Região Sudeste"
"2",2025-04-01,18924.0521426617,18954.8541034442,18891.7238883297,"SP","Região Sudeste"
"3",2025-05-01,19003.4220777029,19049.8376744461,18954.7471157116,"SP","Região Sudeste"
"4",2025-06-01,19085.4376772455,19147.617523756,19020.2854715554,"SP","Região Sudeste"
"5",2025-07-01,19164.8076122868,19242.887410789,19083.0635985097,"SP","Região Sudeste"
"6",2025-08-01,19246.8232118294,19340.9582346761,19148.3526747355,"SP","Região Sudeste"
"7",2025-09-01,19328.838811372,19439.1758852113,19213.5162343033,"SP","Região Sudeste"
"8",2025-10-01,19408.2087464132,19534.8776047878,19275.9268117978,"SP","Região Sudeste"
"9",2025-11-01,19490.2243459559,19633.3872644661,19340.842083745,"SP","Região Sudeste"
"10",2025-12-01,19569.5942809971,19729.3770055996,19403.0091936234,"SP","Região Sudeste"
"11",2026-01-01,19651.6098805397,19828.179364799,19467.6768360877,"SP","Região Sudeste"
"12",2026-02-01,19733.6254800823,19927.1294189044,19532.2197903254,"SP","Região Sudeste"
"13",2026-03-01,19807.7040861208,20018.2060007143,19588.7889485187,"SP","Região Sudeste"
"14",2026-04-01,19889.7196856635,20117.4454441975,19653.0897311261,"SP","Região Sudeste"
"15",2026-05-01,19969.0896207047,20214.1549698645,19714.6543619432,"SP","Região Sudeste"
"16",2026-06-01,20051.1052202473,20313.6888399575,19778.7091480224,"SP","Região Sudeste"
"17",2026-07-01,20130.4751552886,20410.688782496,19840.0325728658,"SP","Região Sudeste"
"18",2026-08-01,20212.4907548312,20510.5177747393,19903.8420152445,"SP","Região Sudeste"
"19",2026-09-01,20294.5063543738,20610.4956813407,19967.5279169812,"SP","Região Sudeste"
"20",2026-10-01,20373.876289415,20707.933634758,20028.4896285528,"SP","Região Sudeste"
"21",2026-11-01,20455.8918889576,20808.2077113818,20091.9311648971,"SP","Região Sudeste"
"22",2026-12-01,20535.2618239989,20905.9378091895,20152.6532807004,"SP","Região Sudeste"
"23",2027-01-01,20617.2774235415,21006.5087550953,20215.8511007016,"SP","Região Sudeste"
"24",2027-02-01,20699.2930230841,21107.2294947707,20278.926197073,"SP","Região Sudeste"
"25",2027-03-01,20773.3716291226,21200.000207601,20334.1095711134,"SP","Região Sudeste"
"26",2027-04-01,20855.3872286652,21301.0144771308,20396.9463497406,"SP","Região Sudeste"
"27",2027-05-01,20934.7571637065,21399.4746731686,20457.075592569,"SP","Região Sudeste"
"28",2027-06-01,21016.7727632491,21500.7875612994,20519.6702652305,"SP","Região Sudeste"
"29",2027-07-01,21096.1426982903,21599.5423279427,20579.5621425753,"SP","Região Sudeste"
"30",2027-08-01,21178.158297833,21701.1545391593,20641.9153530787,"SP","Região Sudeste"
"31",2027-09-01,21260.1738973756,21802.9177792691,20704.1469716958,"SP","Região Sudeste"
"32",2027-10-01,21339.5438324168,21902.1168147714,20763.6828911123,"SP","Região Sudeste"
"33",2027-11-01,21421.5594319594,22004.1804393067,20825.6740123663,"SP","Região Sudeste"
"34",2027-12-01,21500.9293670007,22103.6757951938,20884.9741541899,"SP","Região Sudeste"
"35",2028-01-01,21582.9449665433,22206.0405124035,20946.7254181585,"SP","Região Sudeste"
"36",2028-02-01,21664.9605660859,22308.5571492072,21008.3558959802,"SP","Região Sudeste"
"37",2028-03-01,21741.6848366258,22405.7729352267,21064.7391699746,"SP","Região Sudeste"
"38",2028-04-01,21823.7004361684,22508.5895137245,21126.1329401077,"SP","Região Sudeste"
"39",2028-05-01,21903.0703712096,22608.8276343884,21184.8474931997,"SP","Região Sudeste"
"40",2028-06-01,21985.0859707523,22711.9470809899,21246.0029978803,"SP","Região Sudeste"
"41",2028-07-01,22064.4559057935,22812.4839831431,21304.4839764493,"SP","Região Sudeste"
"42",2028-08-01,22146.4715053361,22915.9070113918,21365.4018505747,"SP","Região Sudeste"
"43",2028-09-01,22228.4871048787,23019.48321203,21426.2000565248,"SP","Região Sudeste"
"44",2028-10-01,22307.85703992,23120.4707270655,21484.330758303,"SP","Região Sudeste"
"45",2028-11-01,22389.8726394626,23224.3515843304,21544.8922851441,"SP","Região Sudeste"
"46",2028-12-01,22469.2425745038,23325.6396531801,21602.7909782471,"SP","Região Sudeste"
"47",2029-01-01,22551.2581740465,23429.825884425,21663.1164571944,"SP","Região Sudeste"
"48",2029-02-01,22633.2737735891,23534.1661901934,21723.3230625703,"SP","Região Sudeste"
"49",2029-03-01,22707.3523796276,23630.4011217197,21775.7995694344,"SP","Região Sudeste"
"50",2029-04-01,22789.3679791702,23735.0434027104,21835.775408915,"SP","Região Sudeste"
"51",2029-05-01,22868.7379142114,23837.0826070709,21893.1000522401,"SP","Região Sudeste"
"52",2029-06-01,22950.753513754,23942.0320566487,21952.841409903,"SP","Região Sudeste"
"53",2029-07-01,23030.1234487953,24044.3743039919,22009.9362133081,"SP","Região Sudeste"
"54",2029-08-01,23112.1390483379,24149.631644863,22069.4437152613,"SP","Região Sudeste"
"55",2029-09-01,23194.1546478805,24255.0443273073,22128.833444302,"SP","Região Sudeste"
