"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,1154.94386508405,1155.88341205077,1153.956939072,"TO","Região Norte"
"2",2025-04-01,1157.7318654191,1159.61626159633,1155.75409396131,"TO","Região Norte"
"3",2025-05-01,1160.42993025947,1163.26426438474,1157.45762966445,"TO","Região Norte"
"4",2025-06-01,1163.21793059452,1167.00766356296,1159.24703848514,"TO","Região Norte"
"5",2025-07-01,1165.91599543489,1170.66608152163,1160.9429920465,"TO","Região Norte"
"6",2025-08-01,1168.70399576994,1174.4200547856,1162.72467601932,"TO","Região Norte"
"7",2025-09-01,1171.49199610498,1178.17936103869,1164.502467281,"TO","Região Norte"
"8",2025-10-01,1174.19006094535,1181.85348400917,1166.18704866856,"TO","Região Norte"
"9",2025-11-01,1176.9780612804,1185.62340118437,1167.95714688528,"TO","Região Norte"
"10",2025-12-01,1179.67612612077,1189.30800008165,1169.63419843843,"TO","Região Norte"
"11",2026-01-01,1182.46412645582,1193.08855276148,1171.39662470627,"TO","Região Norte"
"12",2026-02-01,1185.25212679087,1196.87446933825,1173.15518482888,"TO","Região Norte"
"13",2026-03-01,1187.77032064188,1200.39308224541,1174.6430595493,"TO","Região Norte"
"14",2026-04-01,1190.55832097693,1204.18952347793,1176.39413134434,"TO","Região Norte"
"15",2026-05-01,1193.2563858173,1207.900307918,1178.05256315633,"TO","Região Norte"
"16",2026-06-01,1196.04438615234,1211.70744615827,1179.79601533109,"TO","Região Norte"
"17",2026-07-01,1198.74245099271,1215.42879186092,1181.44698973607,"TO","Região Norte"
"18",2026-08-01,1201.53045132776,1219.24665187334,1183.18284321377,"TO","Região Norte"
"19",2026-09-01,1204.31845166281,1223.06991919544,1184.91486733454,"TO","Região Norte"
"20",2026-10-01,1207.01651650318,1226.80718998919,1186.55465650567,"TO","Região Norte"
"21",2026-11-01,1209.80451683823,1230.64121638846,1188.27911328651,"TO","Região Norte"
"22",2026-12-01,1212.5025816786,1234.38910997621,1189.91149662219,"TO","Região Norte"
"23",2027-01-01,1215.29058201365,1238.23392034802,1191.62840686327,"TO","Região Norte"
"24",2027-02-01,1218.07858234869,1242.08416933015,1193.34151394143,"TO","Região Norte"
"25",2027-03-01,1220.5967761997,1245.66451565108,1194.78672179519,"TO","Região Norte"
"26",2027-04-01,1223.38477653475,1249.52543677781,1196.49246396015,"TO","Região Norte"
"27",2027-05-01,1226.08284137512,1253.29988334903,1198.10653510929,"TO","Região Norte"
"28",2027-06-01,1228.87084171017,1257.17165073449,1199.80478232809,"TO","Região Norte"
"29",2027-07-01,1231.56890655054,1260.95680652427,1201.41151904866,"TO","Região Norte"
"30",2027-08-01,1234.35690688559,1264.83944524788,1203.10229195083,"TO","Região Norte"
"31",2027-09-01,1237.14490722064,1268.72756654652,1204.78929796256,"TO","Região Norte"
"32",2027-10-01,1239.84297206101,1272.52887031269,1206.38503375793,"TO","Região Norte"
"33",2027-11-01,1242.63097239605,1276.42790072883,1208.06459637019,"TO","Região Norte"
"34",2027-12-01,1245.32903723642,1280.23997602921,1209.65304858229,"TO","Região Norte"
"35",2028-01-01,1248.11703757147,1284.14994077484,1211.32518830317,"TO","Região Norte"
"36",2028-02-01,1250.90503790652,1288.06541979367,1212.99358696052,"TO","Região Norte"
"37",2028-03-01,1253.51316725221,1291.80105441767,1214.48397917236,"TO","Região Norte"
"38",2028-04-01,1256.30116758726,1295.7274303477,1216.14506013265,"TO","Região Norte"
"39",2028-05-01,1258.99923242763,1299.56650621908,1217.715428979,"TO","Região Norte"
"40",2028-06-01,1261.78723276268,1303.50387968003,1219.36913804325,"TO","Região Norte"
"41",2028-07-01,1264.48529760305,1307.35381473491,1220.9322938331,"TO","Região Norte"
"42",2028-08-01,1267.27329793809,1311.30221112523,1222.57865134076,"TO","Região Norte"
"43",2028-09-01,1270.06129827314,1315.25616637359,1224.22130361168,"TO","Região Norte"
"44",2028-10-01,1272.75936311351,1319.12247531465,1225.77364037814,"TO","Região Norte"
"45",2028-11-01,1275.54736344856,1323.08749175208,1227.40897157503,"TO","Região Norte"
"46",2028-12-01,1278.24542828893,1326.96472298647,1228.95414541295,"TO","Região Norte"
"47",2029-01-01,1281.03342862398,1330.94082614558,1230.58217575542,"TO","Região Norte"
"48",2029-02-01,1283.82142895902,1334.9225202635,1232.20652632547,"TO","Região Norte"
"49",2029-03-01,1286.33962281004,1338.62903774876,1233.56846435624,"TO","Região Norte"
"50",2029-04-01,1289.12762314508,1342.6217047769,1235.18569177316,"TO","Região Norte"
"51",2029-05-01,1291.82568798545,1346.52623830672,1236.7131558906,"TO","Região Norte"
"52",2029-06-01,1294.6136883205,1350.53005593783,1238.32313260467,"TO","Região Norte"
"53",2029-07-01,1297.31175316087,1354.4456004034,1239.84350319839,"TO","Região Norte"
"54",2029-08-01,1300.09975349592,1358.4605943586,1241.44624926297,"TO","Região Norte"
"55",2029-09-01,1302.88775383097,1362.48122436157,1243.04535081561,"TO","Região Norte"
"56",2029-10-01,1305.58581867134,1366.41337131444,1244.55508153234,"TO","Região Norte"
"57",2029-11-01,1308.37381900639,1370.44521638704,1246.14698248945,"TO","Região Norte"
"58",2029-12-01,1311.07188384675,1374.38843818875,1247.64966910296,"TO","Região Norte"
"59",2030-01-01,1313.8598841818,1378.43152418787,1249.23438939959,"TO","Região Norte"
"60",2030-02-01,1316.64788451685,1382.4802787427,1250.81549029101,"TO","Região Norte"
"61",2030-03-01,1319.16607836786,1386.25118113012,1252.13687967397,"TO","Região Norte"
"62",2030-04-01,1321.95407870291,1390.31106179512,1253.71097567555,"TO","Região Norte"
"63",2030-05-01,1324.65214354328,1394.28196757127,1255.1962472737,"TO","Região Norte"
"64",2030-06-01,1327.44014387833,1398.35315385582,1256.76321205968,"TO","Região Norte"
"65",2030-07-01,1330.1382087187,1402.3352242519,1258.24150797828,"TO","Região Norte"
"66",2030-08-01,1332.92620905375,1406.41774220368,1259.80136131966,"TO","Região Norte"
"67",2030-09-01,1335.71420938879,1410.50597437228,1261.35763002033,"TO","Região Norte"
"68",2030-10-01,1338.41227422916,1414.50487876561,1262.82546267852,"TO","Região Norte"
"69",2030-11-01,1341.20027456421,1418.60448183865,1264.37464956549,"TO","Região Norte"
"70",2030-12-01,1343.89833940458,1422.61461557799,1265.8355552664,"TO","Região Norte"
"71",2031-01-01,1346.68633973963,1426.72561574056,1267.3776799939,"TO","Região Norte"
