"","ds","cenario_base","cenario_aumento","cenario_reducao","uf_sigla","regiao"
"1",2025-03-01,889.555157648939,890.278810871717,888.795012371942,"TO","Região Norte"
"2",2025-04-01,893.892296656518,895.347251190456,892.365246461672,"TO","Região Norte"
"3",2025-05-01,898.089527954175,900.283099259299,895.789180497849,"TO","Região Norte"
"4",2025-06-01,902.426666961754,905.366748954503,899.346041365399,"TO","Região Norte"
"5",2025-07-01,906.623898259412,910.317596246134,902.756858321981,"TO","Região Norte"
"6",2025-08-01,910.961037266991,915.416491401516,906.300381239553,"TO","Região Norte"
"7",2025-09-01,915.298176274569,920.523080028288,909.837188912401,"TO","Região Norte"
"8",2025-10-01,919.495407572226,925.496550443245,913.228336098867,"TO","Região Norte"
"9",2025-11-01,923.832546579806,930.618438893586,916.751858678912,"TO","Região Norte"
"10",2025-12-01,928.029777877463,935.606998145412,920.129975796064,"TO","Região Norte"
"11",2026-01-01,932.366916885042,940.744222696403,923.640248351953,"TO","Região Norte"
"12",2026-02-01,936.704055892621,945.889186344637,927.143849803497,"TO","Região Norte"
"13",2026-03-01,940.621471770434,950.617714639096,930.225704647257,"TO","Região Norte"
"14",2026-04-01,944.958610778013,955.777838993573,933.716345092931,"TO","Região Norte"
"15",2026-05-01,949.15584207567,960.804105079316,937.062215532321,"TO","Região Norte"
"16",2026-06-01,953.492981083249,965.979656285983,940.539692968296,"TO","Região Norte"
"17",2026-07-01,957.690212380906,971.021137065105,943.872653863328,"TO","Região Norte"
"18",2026-08-01,962.027351388485,976.212151672732,947.33700307587,"TO","Região Norte"
"19",2026-09-01,966.364490396064,981.410969457583,950.794742332039,"TO","Região Norte"
"20",2026-10-01,970.561721693721,986.475397993451,954.10834446424,"TO","Região Norte"
"21",2026-11-01,974.898860701301,991.689734242909,957.55300762617,"TO","Região Norte"
"22",2026-12-01,979.096091998958,996.769468243611,960.853786022068,"TO","Região Norte"
"23",2027-01-01,983.433231006537,1001.99935970216,964.285407675084,"TO","Região Norte"
"24",2027-02-01,987.770370014116,1007.23710055079,967.710462904843,"TO","Região Norte"
"25",2027-03-01,991.687785891929,1012.05435699762,970.718112527841,"TO","Região Norte"
"26",2027-04-01,996.024924899508,1017.30747610892,974.130412129483,"TO","Região Norte"
"27",2027-05-01,1000.22215619717,1022.42545885322,977.399455779742,"TO","Região Norte"
"28",2027-06-01,1004.55929520474,1027.69422509504,980.798799686265,"TO","Região Norte"
"29",2027-07-01,1008.7565265024,1032.82764078681,984.055138457468,"TO","Região Norte"
"30",2027-08-01,1013.09366550998,1038.11209117863,987.441560975446,"TO","Região Norte"
"31",2027-09-01,1017.43080451756,1043.40445586526,990.821477375716,"TO","Região Norte"
"32",2027-10-01,1021.62803581522,1048.56114813848,994.058764091896,"TO","Região Norte"
"33",2027-11-01,1025.9651748228,1053.86925274752,997.425810514187,"TO","Região Norte"
"34",2027-12-01,1030.16240612045,1059.0414699111,1000.65047697262,"TO","Região Norte"
"35",2028-01-01,1034.49954512803,1064.36535166013,1004.00468752515,"TO","Região Norte"
"36",2028-02-01,1038.83668413561,1069.69719451094,1007.35243489362,"TO","Região Norte"
"37",2028-03-01,1042.89400772335,1074.74864566127,1010.42262454353,"TO","Região Norte"
"38",2028-04-01,1047.23114673092,1080.0962044314,1013.75770298757,"TO","Região Norte"
"39",2028-05-01,1051.42837802858,1085.30733663711,1016.9510238088,"TO","Região Norte"
"40",2028-06-01,1055.76551703616,1090.67076584367,1020.27335120953,"TO","Região Norte"
"41",2028-07-01,1059.96274833382,1095.89755225935,1023.45416918174,"TO","Região Norte"
"42",2028-08-01,1064.2998873414,1101.27688939855,1026.76377937187,"TO","Região Norte"
"43",2028-09-01,1068.63702634898,1106.66425347476,1030.06698595054,"TO","Região Norte"
"44",2028-10-01,1072.83425764663,1111.91464982604,1033.22905462736,"TO","Região Norte"
"45",2028-11-01,1077.17139665421,1117.31797832514,1036.51959469611,"TO","Região Norte"
"46",2028-12-01,1081.36862795187,1122.58412201578,1039.6692439729,"TO","Região Norte"
"47",2029-01-01,1085.70576695945,1128.00345263448,1042.94715116863,"TO","Região Norte"
"48",2029-02-01,1090.04290596703,1133.43085759888,1046.21869709438,"TO","Região Norte"
"49",2029-03-01,1093.96032184484,1138.4295616794,1049.08138593822,"TO","Região Norte"
"50",2029-04-01,1098.29746085242,1143.87278867257,1052.34057869771,"TO","Região Norte"
"51",2029-05-01,1102.49469215008,1149.17828649858,1055.45949640298,"TO","Região Norte"
"52",2029-06-01,1106.83183115766,1154.63760991616,1058.70613974722,"TO","Região Norte"
"53",2029-07-01,1111.02906245531,1159.95898587709,1061.81275363733,"TO","Região Norte"
"54",2029-08-01,1115.36620146289,1165.4344436975,1065.04688093162,"TO","Região Norte"
"55",2029-09-01,1119.70334047047,1170.91804244856,1068.27470560837,"TO","Região Norte"
"56",2029-10-01,1123.90057176813,1176.26336570871,1071.36286847433,"TO","Região Norte"
"57",2029-11-01,1128.23771077571,1181.76315607893,1074.57822710154,"TO","Região Norte"
"58",2029-12-01,1132.43494207336,1187.12445180352,1077.65416844497,"TO","Região Norte"
"59",2030-01-01,1136.77208108094,1192.64047197425,1080.85709419464,"TO","Região Norte"
"60",2030-02-01,1141.10922008852,1198.16468109295,1084.0537590841,"TO","Região Norte"
"61",2030-03-01,1145.02663596634,1203.25602102933,1086.84577523124,"TO","Região Norte"
"62",2030-04-01,1149.36377497391,1208.79627826463,1090.03028391315,"TO","Região Norte"
"63",2030-05-01,1153.56100627157,1214.19749130182,1093.07598461304,"TO","Região Norte"
"64",2030-06-01,1157.89814527915,1219.75407385549,1096.24814272029,"TO","Região Norte"
"65",2030-07-01,1162.09537657681,1225.17139183886,1099.28173587849,"TO","Região Norte"
"66",2030-08-01,1166.43251558439,1230.74433817739,1102.44157631495,"TO","Região Norte"
"67",2030-09-01,1170.76965459197,1236.32554090398,1105.59521373332,"TO","Região Norte"
"68",2030-10-01,1174.96688588962,1241.76714789627,1108.61065000323,"TO","Região Norte"
"69",2030-11-01,1179.3040248972,1247.36477235894,1111.75201905999,"TO","Região Norte"
"70",2030-12-01,1183.50125619486,1252.82257984162,1114.7554289394,"TO","Região Norte"
"71",2031-01-01,1187.83839520244,1258.43666471224,1117.88456234761,"TO","Região Norte"
