"","UF","perc_fc","ano","variacao_percentual","direcao"
"1","AC",0.313904767987737,2024,-24.2251419834367,"Redução"
"2","AC",0.299722100529677,2025,-24.2251419834367,"Redução"
"3","AC",0.286180226320843,2026,-24.2251419834367,"Redução"
"4","AC",0.273250193403537,2027,-24.2251419834367,"Redução"
"5","AC",0.260904357911022,2028,-24.2251419834367,"Redução"
"6","AC",0.24911632496609,2029,-24.2251419834367,"Redução"
"7","AC",0.23786089224993,2030,-24.2251419834367,"Redução"
"8","AL",0.370203605479911,2024,-18.251559195291,"Redução"
"9","AL",0.357975983103825,2025,-18.251559195291,"Redução"
"10","AL",0.346152232399324,2026,-18.251559195291,"Redução"
"11","AL",0.334719013706246,2027,-18.251559195291,"Redução"
"12","AL",0.323663427966096,2028,-18.251559195291,"Redução"
"13","AL",0.31297300216922,2029,-18.251559195291,"Redução"
"14","AL",0.302635675282643,2030,-18.251559195291,"Redução"
"15","AM",0.55147749729981,2024,-3.79889994358267,"Redução"
"16","AM",0.547929229993201,2025,-3.79889994358267,"Redução"
"17","AM",0.544403792631496,2026,-3.79889994358267,"Redução"
"18","AM",0.5409010383243,2027,-3.79889994358267,"Redução"
"19","AM",0.537420821126329,2028,-3.79889994358267,"Redução"
"20","AM",0.533962996031325,2029,-3.79889994358267,"Redução"
"21","AM",0.530527418966016,2030,-3.79889994358267,"Redução"
"22","AP",0.370527102021204,2024,-29.7155065801687,"Redução"
"23","AP",0.34937881399004,2025,-29.7155065801687,"Redução"
"24","AP",0.329437590392785,2026,-29.7155065801687,"Redução"
"25","AP",0.310634536548911,2027,-29.7155065801687,"Redução"
"26","AP",0.292904690026139,2028,-29.7155065801687,"Redução"
"27","AP",0.276186796202553,2029,-29.7155065801687,"Redução"
"28","AP",0.260423096638785,2030,-29.7155065801687,"Redução"
"29","BA",0.395204240004019,2024,-24.1647167260123,"Redução"
"30","BA",0.377398480762266,2025,-24.1647167260123,"Redução"
"31","BA",0.36039495244337,2026,-24.1647167260123,"Redução"
"32","BA",0.344157510873703,2027,-24.1647167260123,"Redução"
"33","BA",0.328651640340037,2028,-24.1647167260123,"Redução"
"34","BA",0.313844380219947,2029,-24.1647167260123,"Redução"
"35","BA",0.299704254917858,2030,-24.1647167260123,"Redução"
"36","CE",0.285324388681783,2024,-18.0745905115532,"Redução"
"37","CE",0.275999735318014,2025,-18.0745905115532,"Redução"
"38","CE",0.266979819872922,2026,-18.0745905115532,"Redução"
"39","CE",0.258254683241813,2027,-18.0745905115532,"Redução"
"40","CE",0.249814691792342,2028,-18.0745905115532,"Redução"
"41","CE",0.241650526727791,2029,-18.0745905115532,"Redução"
"42","CE",0.233753173797958,2030,-18.0745905115532,"Redução"
"43","DF",0.511650328068674,2024,-15.1352284432177,"Redução"
"44","DF",0.497845399236296,2025,-15.1352284432177,"Redução"
"45","DF",0.484412943652956,2026,-15.1352284432177,"Redução"
"46","DF",0.471342911551433,2027,-15.1352284432177,"Redução"
"47","DF",0.458625524319073,2028,-15.1352284432177,"Redução"
"48","DF",0.446251267181712,2029,-15.1352284432177,"Redução"
"49","DF",0.434210882085007,2030,-15.1352284432177,"Redução"
"50","ES",0.370378336260798,2024,-6.5434141931946,"Redução"
"51","ES",0.366224359700504,2025,-6.5434141931946,"Redução"
"52","ES",0.362116972045592,2026,-6.5434141931946,"Redução"
"53","ES",0.358055650778403,2027,-6.5434141931946,"Redução"
"54","ES",0.354039879241573,2028,-6.5434141931946,"Redução"
"55","ES",0.350069146572308,2029,-6.5434141931946,"Redução"
"56","ES",0.346142947637391,2030,-6.5434141931946,"Redução"
"57","GO",0.384529928675953,2024,-8.60367148698752,"Redução"
"58","GO",0.378807241292326,2025,-8.60367148698752,"Redução"
"59","GO",0.37316972062382,2026,-8.60367148698752,"Redução"
"60","GO",0.367616099194355,2027,-8.60367148698752,"Redução"
"61","GO",0.362145128390804,2028,-8.60367148698752,"Redução"
"62","GO",0.356755578182267,2029,-8.60367148698752,"Redução"
"63","GO",0.351446236843527,2030,-8.60367148698752,"Redução"
"64","MA",0.41692483544654,2024,-10.9170210419337,"Redução"
"65","MA",0.408968841515661,2025,-10.9170210419337,"Redução"
"66","MA",0.401164668330506,2026,-10.9170210419337,"Redução"
"67","MA",0.393509418762314,2027,-10.9170210419337,"Redução"
"68","MA",0.386000250966964,2028,-10.9170210419337,"Redução"
"69","MA",0.378634377330001,2029,-10.9170210419337,"Redução"
"70","MA",0.371409063431794,2030,-10.9170210419337,"Redução"
"71","MG",0.323136494035277,2024,-16.3592907938651,"Redução"
"72","MG",0.313657463768238,2025,-16.3592907938651,"Redução"
"73","MG",0.304456495609509,2026,-16.3592907938651,"Redução"
"74","MG",0.29552543276099,2027,-16.3592907938651,"Redução"
"75","MG",0.286856357699739,2028,-16.3592907938651,"Redução"
"76","MG",0.27844158515897,2029,-16.3592907938651,"Redução"
"77","MG",0.270273655314946,2030,-16.3592907938651,"Redução"
"78","MS",0.481081395021922,2024,-11.1785152515553,"Redução"
"79","MS",0.471669976906671,2025,-11.1785152515553,"Redução"
"80","MS",0.462442674809741,2026,-11.1785152515553,"Redução"
"81","MS",0.453395886860746,2027,-11.1785152515553,"Redução"
"82","MS",0.444526081652862,2028,-11.1785152515553,"Redução"
"83","MS",0.435829796864341,2029,-11.1785152515553,"Redução"
"84","MS",0.427303637907002,2030,-11.1785152515553,"Redução"
"85","MT",0.416611511074772,2024,8.71678658972532,"Crescimento"
"86","MT",0.422455238676117,2025,8.71678658972532,"Crescimento"
"87","MT",0.428380935093423,2026,8.71678658972532,"Crescimento"
"88","MT",0.434389750087127,2027,8.71678658972532,"Crescimento"
"89","MT",0.440482849545125,2028,8.71678658972532,"Crescimento"
"90","MT",0.446661415708997,2029,8.71678658972532,"Crescimento"
"91","MT",0.452926647403389,2030,8.71678658972532,"Crescimento"
"92","PA",0.461507076621197,2024,3.31038660769116,"Crescimento"
"93","PA",0.464018927441979,2025,3.31038660769116,"Crescimento"
"94","PA",0.466544449547266,2026,3.31038660769116,"Crescimento"
"95","PA",0.469083717345944,2027,3.31038660769116,"Crescimento"
"96","PA",0.471636805651885,2028,3.31038660769116,"Crescimento"
"97","PA",0.474203789686152,2029,3.31038660769116,"Crescimento"
"98","PA",0.476784745079212,2030,3.31038660769116,"Crescimento"
"99","PB",0.411797627860888,2024,-23.3126818367366,"Redução"
"100","PB",0.393977208712886,2025,-23.3126818367366,"Redução"
"101","PB",0.376927962872172,2026,-23.3126818367366,"Redução"
"102","PB",0.360616518044584,2027,-23.3126818367366,"Redução"
"103","PB",0.345010946112008,2028,-23.3126818367366,"Redução"
"104","PB",0.330080700636088,2029,-23.3126818367366,"Redução"
"105","PB",0.31579655706645,2030,-23.3126818367366,"Redução"
"106","PE",0.46544112815743,2024,-22.7775408110522,"Redução"
"107","PE",0.4458157025957,2025,-22.7775408110522,"Redução"
"108","PE",0.427017787335872,2026,-22.7775408110522,"Redução"
"109","PE",0.409012490227576,2027,-22.7775408110522,"Redução"
"110","PE",0.39176639035549,2028,-22.7775408110522,"Redução"
"111","PE",0.375247476004396,2029,-22.7775408110522,"Redução"
"112","PE",0.35942508523995,2030,-22.7775408110522,"Redução"
"113","PI",0.424473855273429,2024,-23.5496670901095,"Redução"
"114","PI",0.405895443410756,2025,-23.5496670901095,"Redução"
